nuclide,energy_ev,intensity,source
20na,654851.53,0.000000002766,IAEA_Livechart_API
20na,1632731.9,0.000298961,IAEA_Livechart_API
20na,1633553.5299999998,0.00001654991,IAEA_Livechart_API
20na,2444129.9,0.0000000134298,IAEA_Livechart_API
20na,2444951.53,0.00000000074358,IAEA_Livechart_API
20na,2612929.9,0.0000000042094,IAEA_Livechart_API
20na,2613751.53,0.00000000023296,IAEA_Livechart_API
20na,2851129.9,0.00000027678,IAEA_Livechart_API
20na,2851951.53,0.00000001533,IAEA_Livechart_API
20na,3331669.9,0.000000030007,IAEA_Livechart_API
20na,3332491.53,0.0000000016613,IAEA_Livechart_API
20na,3986429.9,0.0000000351321,IAEA_Livechart_API
20na,3987251.53,0.00000000194394,IAEA_Livechart_API
20na,4651129.9,0.00000003564,IAEA_Livechart_API
20na,4651951.53,0.0000000019734,IAEA_Livechart_API
20na,4964979.9,0.00000000016808,IAEA_Livechart_API
20na,4965801.529999999,0.000000000009306,IAEA_Livechart_API
20na,5305129.9,0.00000001856,IAEA_Livechart_API
20na,5305951.53,0.000000001028,IAEA_Livechart_API
20na,5619729.9,0.0000000030456,IAEA_Livechart_API
20na,5620551.529999999,0.00000000016873,IAEA_Livechart_API
31na,48592.0,0.26061,IAEA_Livechart_API
31na,49808.0,0.017052,IAEA_Livechart_API
31na,49892.35,0.0006216,IAEA_Livechart_API
31na,169592.0,0.0050804,IAEA_Livechart_API
31na,170808.0,0.00032604,IAEA_Livechart_API
31na,170892.35,0.0000120224,IAEA_Livechart_API
31na,219492.0,0.000874,IAEA_Livechart_API
31na,220708.0,0.0000562,IAEA_Livechart_API
31na,220792.35,0.00000207,IAEA_Livechart_API
26na,1001302.0,0.000016309439904,IAEA_Livechart_API
26na,1002518.0,0.00000104791962,IAEA_Livechart_API
26na,1002602.35,0.00000003886829136,IAEA_Livechart_API
26na,1127582.0,0.00006098710872,IAEA_Livechart_API
26na,1128798.0,0.000003918921148,IAEA_Livechart_API
26na,1128882.35,0.0000001451234668,IAEA_Livechart_API
26na,1154542.0,0.0000000727326464,IAEA_Livechart_API
26na,1155758.0,0.00000000467043304,IAEA_Livechart_API
26na,1155842.3499999999,0.000000000173033312,IAEA_Livechart_API
26na,1363902.0,0.0000025856055512,IAEA_Livechart_API
26na,1365118.0,0.00000016621749972,IAEA_Livechart_API
26na,1365202.35,0.000000006167819172,IAEA_Livechart_API
26na,1410052.0,0.000017371954008,IAEA_Livechart_API
26na,1411268.0,0.0000011141506368,IAEA_Livechart_API
26na,1411352.3499999999,0.00000004129198632,IAEA_Livechart_API
26na,1773772.0,0.00000173766504,IAEA_Livechart_API
26na,1774988.0,0.000000111445184,IAEA_Livechart_API
26na,1775072.3499999999,0.00000000413520288,IAEA_Livechart_API
26na,1807402.0,0.0005241332,IAEA_Livechart_API
26na,1808618.0,0.0000336872,IAEA_Livechart_API
26na,1808702.35,0.0000012474172,IAEA_Livechart_API
26na,1895472.0,0.000008712857408,IAEA_Livechart_API
26na,1896688.0,0.0000005609929416,IAEA_Livechart_API
26na,1896772.3499999999,0.00000002075468392,IAEA_Livechart_API
26na,2131602.0,0.000002221611392,IAEA_Livechart_API
26na,2132818.0,0.0000001426375496,IAEA_Livechart_API
26na,2132902.3499999996,0.000000005282638452,IAEA_Livechart_API
26na,2540192.0,0.00000636995228,IAEA_Livechart_API
26na,2541408.0,0.0000004082452688,IAEA_Livechart_API
26na,2541492.35,0.00000001513159668,IAEA_Livechart_API
26na,3091492.0,0.00000059864136,IAEA_Livechart_API
26na,3092708.0,0.0000000383751702,IAEA_Livechart_API
26na,3092792.35,0.00000000142318512,IAEA_Livechart_API
26na,4832992.0,0.00000024700644,IAEA_Livechart_API
26na,4834208.0,0.000000015850323,IAEA_Livechart_API
26na,4834292.35,0.0000000005885352,IAEA_Livechart_API
26na,5289492.0,0.000000002274421032,IAEA_Livechart_API
26na,5290708.0,0.0000000001458318888,IAEA_Livechart_API
26na,5290792.35,0.00000000000540203976,IAEA_Livechart_API
33na,48792.0,0.022104,IAEA_Livechart_API
33na,50008.0,0.0014454,IAEA_Livechart_API
33na,50092.350000000006,0.00005274,IAEA_Livechart_API
33na,169892.0,0.00074844,IAEA_Livechart_API
33na,171108.0,0.000048048,IAEA_Livechart_API
33na,171192.35,0.00000177023,IAEA_Livechart_API
33na,219692.0,0.00013516,IAEA_Livechart_API
33na,220908.0,0.00000868,IAEA_Livechart_API
33na,220992.34999999998,0.00000031992,IAEA_Livechart_API
32na,48692.0,0.12177,IAEA_Livechart_API
32na,49908.0,0.0079893,IAEA_Livechart_API
32na,49992.35,0.00029106,IAEA_Livechart_API
32na,169692.0,0.0077025,IAEA_Livechart_API
32na,170908.0,0.00049454,IAEA_Livechart_API
32na,170992.34999999998,0.000018249,IAEA_Livechart_API
32na,219692.0,0.0017004,IAEA_Livechart_API
32na,220908.0,0.0001092,IAEA_Livechart_API
32na,220992.34999999998,0.0000040248,IAEA_Livechart_API
32na,238692.0,0.0201345,IAEA_Livechart_API
32na,239908.0,0.00129549,IAEA_Livechart_API
32na,239992.34999999998,0.000047616,IAEA_Livechart_API
21mg,3542925.0,0.00000001279,IAEA_Livechart_API
21mg,3543934.0,0.000000000766,IAEA_Livechart_API
21mg,3543994.86,0.00000000001717,IAEA_Livechart_API
22mg,72825.0,0.19719762296,IAEA_Livechart_API
22mg,73834.0,0.011901868368,IAEA_Livechart_API
22mg,73894.86,0.00026429148876,IAEA_Livechart_API
22mg,581965.0,0.006967909,IAEA_Livechart_API
22mg,582974.0,0.0004178746,IAEA_Livechart_API
22mg,583034.86,0.000009337198,IAEA_Livechart_API
30mg,242236.0,0.024717,IAEA_Livechart_API
30mg,243679.0,0.00168784,IAEA_Livechart_API
30mg,243790.93,0.000089551,IAEA_Livechart_API
28mg,29074.3,5.34,IAEA_Livechart_API
28mg,30517.3,0.3738,IAEA_Livechart_API
28mg,30629.23,0.01958,IAEA_Livechart_API
25al,388402.0,0.000002002,IAEA_Livechart_API
25al,389618.0,0.00000012892,IAEA_Livechart_API
25al,389702.35000000003,0.000000004774,IAEA_Livechart_API
25al,583720.0,0.000001947,IAEA_Livechart_API
25al,584936.0,0.00000012518,IAEA_Livechart_API
25al,585020.35,0.0000000046222,IAEA_Livechart_API
25al,973434.0,0.00000035825,IAEA_Livechart_API
