pl_name,hostname,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,sy_dist,disc_facility
"OGLE-2017-BLG-1691L b","OGLE-2017-BLG-1691L",2.4100000000,0.3400000000,-0.4400000000,7290.00000000,"OGLE"
"KMT-2021-BLG-0320L b","KMT-2021-BLG-0320L",1.5400000000,0.2400000000,-0.3000000000,6950.00000000,"KMTNet"
"Kepler-138 b","Kepler-138",0.0753000000,0.0006000000,-0.0006000000,66.86240000,"Kepler"
"MOA-2020-BLG-135L b","MOA-2020-BLG-135L",1.1100000000,0.2300000000,-0.2000000000,7900.00000000,"MOA"
"TrES-2 b","TrES-2",0.0356800000,0.0004200000,-0.0004200000,215.32000000,"TrES"
"TOI-6223 b","TOI-6223",0.0401800000,0.0006100000,-0.0006200000,133.12200000,"Transiting Exoplanet Survey Satellite (TESS)"
"WASP-47 d","WASP-47",0.0850000000,0.0027000000,-0.0027000000,264.78000000,"K2"
"Kepler-138 d","Kepler-138",0.1288000000,0.0010000000,-0.0010000000,66.86240000,"Kepler"
"Kepler-138 c","Kepler-138",0.0913000000,0.0007000000,-0.0007000000,66.86240000,"Kepler"
"OGLE-2006-BLG-284L A b","OGLE-2006-BLG-284L A",2.1700000000,0.7800000000,-0.7800000000,4000.00000000,"OGLE"
"KMT-2018-BLG-2602L b","KMT-2018-BLG-2602L",3.8100000000,2.9600000000,-2.3200000000,4310.00000000,"KMTNet"
"K2-413 c","K2-413",0.0426000000,0.0016000000,-0.0019000000,285.16200000,"K2"
"K2-414 c","K2-414",0.0552000000,0.0017000000,-0.0023000000,260.03600000,"K2"
"OGLE-2018-BLG-1119L b","OGLE-2018-BLG-1119L",4.0600000000,2.1400000000,-2.5800000000,5760.00000000,"OGLE"
"WASP-65 b","WASP-65",0.0334000000,0.0016000000,-0.0017000000,273.70300000,"SuperWASP"
"HAT-P-21 b","HAT-P-21",0.0503700000,0.0006700000,-0.0006700000,277.27800000,"HATNet"
"K2-3 b","K2-3",0.0747000000,0.0013000000,-0.0012000000,44.07270000,"K2"
"HIP 21152 b","HIP 21152",17.0000000000,5.0000000000,-4.0000000000,43.40730000,"Multiple Observatories"
"K2-38 c","K2-38",0.0951400000,0.0009100000,-0.0009400000,192.69000000,"K2"
"K2-38 b","K2-38",0.0499400000,0.0004800000,-0.0004900000,192.69000000,"K2"
"KMT-2021-BLG-0909L b","KMT-2021-BLG-0909L",1.7500000000,0.4200000000,-0.4200000000,6480.00000000,"KMTNet"
"KMT-2021-BLG-2478L b","KMT-2021-BLG-2478L",1.8500000000,0.3100000000,-0.3100000000,2970.00000000,"KMTNet"
"HD 95735 c","GJ 411",2.9400000000,0.1400000000,-0.1200000000,5.67577300,"Multiple Observatories"
"KMT-2019-BLG-0414L b","KMT-2019-BLG-0414L",1.1600000000,0.4700000000,-0.5100000000,4410.00000000,"KMTNet"
"KMT-2017-BLG-1194L b","KMT-2017-BLG-1194L",1.7800000000,0.4500000000,-0.4600000000,4240.00000000,"KMTNet"
"WASP-88 b","WASP-88",0.0643100000,0.0006500000,-0.0006200000,523.75600000,"SuperWASP"
"TOI-1238 b","TOI-1238",0.0139000000,0.0008000000,-0.0008000000,70.71450000,"Transiting Exoplanet Survey Satellite (TESS)"
"HATS-8 b","HATS-8",0.0466700000,0.0005500000,-0.0005500000,794.63700000,"HATSouth"
"GJ 1002 c","GJ 1002",0.0738000000,0.0021000000,-0.0021000000,4.84867000,"Multiple Observatories"
"KMT-2017-BLG-1003L b","KMT-2017-BLG-1003L",1.3800000000,0.3900000000,-0.3200000000,7090.00000000,"KMTNet"
