pl_name,hostname,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassprov,sy_dist,disc_facility
"LP 714-47 b","LP 714-47",0.09690715,0.00471950,-0.00471950,"Mass",52.61600000,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-1184 b","TOI-1184",0.02139519,0.00723661,-0.00723661,"Mass",58.59460000,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-1278 b","Kepler-1278",0.00317000,,,"M-R relationship",889.42600000,"Kepler"
"HD 106270 b","HD 106270",11.40000000,2.30000000,-1.20000000,"Mass",93.80800000,"W. M. Keck Observatory"
"TOI-4406 b","TOI-4406",0.30000000,0.03000000,-0.03000000,"Mass",261.83400000,"Transiting Exoplanet Survey Satellite (TESS)"
"HATS-10 b","HATS-10",0.52600000,0.08100000,-0.08100000,"Mass",534.88900000,"HATSouth"
"TOI-762 A b","TOI-762 A",0.25100000,0.04200000,-0.04200000,"Mass",98.44580000,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-472 b","Kepler-472",0.03290000,,,"M-R relationship",306.60200000,"Kepler"
"Kepler-1129 b","Kepler-1129",0.02850000,,,"M-R relationship",1183.88000000,"Kepler"
"Kepler-1275 b","Kepler-1275",0.00879000,,,"M-R relationship",1153.98000000,"Kepler"
"Kepler-1983 b","Kepler-1983",0.01900000,,,"M-R relationship",424.42800000,"Kepler"
"HATS-61 b","HATS-61",3.40000000,0.14000000,-0.14000000,"Mass",679.76100000,"HATSouth"
"TOI-2266 b","TOI-2266",0.00940000,,,"M-R relationship",51.60040000,"Transiting Exoplanet Survey Satellite (TESS)"
"WASP-132 b","WASP-132",0.42800000,0.01500000,-0.01500000,"Mass",122.91000000,"SuperWASP-South"
"Kepler-60 c","Kepler-60",0.01211339,0.00254853,-0.00254853,"Mass",1025.10000000,"Kepler"
"TOI-6041 c","TOI-6041",0.24510081,0.02894644,-0.02800253,"Msini",72.47310000,"Multiple Observatories"
"WASP-49 b","WASP-49",0.37000000,0.08000000,-0.08000000,"Mass",194.55300000,"SuperWASP"
"WASP-15 b","WASP-15",0.54000000,0.29000000,-0.29000000,"Mass",282.09100000,"SuperWASP"
"HD 109833 c","HD 109833",0.02270000,,,"M-R relationship",79.55610000,"Transiting Exoplanet Survey Satellite (TESS)"
"GJ 9827 d","GJ 9827",0.00950198,0.00182488,-0.00179342,"Mass",29.66100000,"K2"
"Kepler-1870 b","Kepler-1870",0.01590000,,,"M-R relationship",407.21600000,"Kepler"
"K2-8 c","K2-8",0.02010000,,,"M-R relationship",403.51300000,"K2"
"Kepler-1339 b","Kepler-1339",0.00089600,,,"M-R relationship",371.04900000,"Kepler"
"GJ 508.2 b","GJ 508.2",1.85000000,,,"Msini",16.63740000,"Calar Alto Observatory"
"Kepler-1905 b","Kepler-1905",0.00845000,,,"M-R relationship",1051.53000000,"Kepler"
"Kepler-230 c","Kepler-230",0.01520000,,,"M-R relationship",740.75400000,"Kepler"
"Kepler-1839 b","Kepler-1839",0.01400000,,,"M-R relationship",1136.60000000,"Kepler"
"Kepler-694 b","Kepler-694",0.02590000,,,"M-R relationship",1023.06000000,"Kepler"
"K2-32 e","K2-32",0.00660734,0.00409026,-0.00346099,"Mass",157.68200000,"K2"
"TOI-5108 b","TOI-5108",0.10068326,0.01573176,-0.01573176,"Mass",130.91900000,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-4914 b","TOI-4914",0.71422187,0.04090257,-0.04090257,"Mass",299.89000000,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-919 b","Kepler-919",0.01790000,,,"M-R relationship",1119.87000000,"Kepler"
"EPIC 212297394 c","EPIC 212297394",0.01820000,,,"M-R relationship",418.39500000,"K2"
"Kepler-1858 b","Kepler-1858",0.02030000,,,"M-R relationship",833.05500000,"Kepler"
"Kepler-949 c","Kepler-949",0.02870000,,,"M-R relationship",486.10500000,"Kepler"
"HD 95872 b","HD 95872",3.74000000,0.93000000,-0.93000000,"Msini",72.21950000,"Multiple Facilities"
"Kepler-411 b","Kepler-411",0.08054620,0.00818047,-0.00818047,"Mass",153.67600000,"Kepler"
"TOI-1416 b","TOI-1416",0.01094930,0.00147879,-0.00147879,"Mass",55.01350000,"Transiting Exoplanet Survey Satellite (TESS)"
"K2-31 b","K2-31",1.77400000,0.07900000,-0.07900000,"Mass",110.52700000,"K2"
"K2-39 b","K2-39",0.09000000,0.05000000,-0.05000000,"Mass",307.47000000,"K2"
"HIP 38594 c","HIP 38594",0.15228267,0.02328289,-0.02328289,"Msini",17.78860000,"Multiple Observatories"
"Kepler-144 b","Kepler-144",0.00733000,,,"M-R relationship",384.91700000,"Kepler"
"Kepler-1121 b","Kepler-1121",0.01360000,,,"M-R relationship",482.04700000,"Kepler"
"HD 10442 b","HD 10442",1.48700000,0.07600000,-0.07600000,"Msini",135.37400000,"W. M. Keck Observatory"
"Kepler-402 d","Kepler-402",0.00780000,,,"M-R relationship",625.33900000,"Kepler"
"TOI-4515 b","TOI-4515",2.00500000,0.05200000,-0.05200000,"Mass",193.49900000,"Transiting Exoplanet Survey Satellite (TESS)"
"HAT-P-41 b","HAT-P-41",1.19000000,0.60000000,-0.60000000,"Mass",348.18500000,"HATNet"
"AU Mic c","AU Mic",0.04549625,0.01019418,-0.01076052,"Mass",9.72210000,"Transiting Exoplanet Survey Satellite (TESS)"
"HAT-P-7 b","HAT-P-7",1.84000000,0.53000000,-0.53000000,"Mass",341.07900000,"HATNet"
"AU Mic b","AU Mic",0.02828570,0.00821198,-0.00840076,"Mass",9.72210000,"Transiting Exoplanet Survey Satellite (TESS)"
"WASP-63 b","WASP-63",0.37000000,0.09000000,-0.09000000,"Mass",290.68400000,"SuperWASP"
"TOI-3540 A b","TOI-3540 A",1.18000000,0.14000000,-0.14000000,"Mass",,"Transiting Exoplanet Survey Satellite (TESS)"
"HATS-62 b","HATS-62",0.17900000,,,"Mass",523.06700000,"HATSouth"
"Kepler-1690 b","Kepler-1690",0.02610000,,,"M-R relationship",703.78900000,"Kepler"
"Kepler-1118 b","Kepler-1118",0.02500000,,,"M-R relationship",888.32500000,"Kepler"
"Kepler-150 b","Kepler-150",0.00660000,,,"M-R relationship",891.09200000,"Kepler"
"Kepler-1841 b","Kepler-1841",0.00888000,,,"M-R relationship",631.70000000,"Kepler"
"Kepler-620 b","Kepler-620",0.03460000,,,"M-R relationship",1355.28000000,"Kepler"
"HD 105618 b","HD 105618",0.08000000,0.00700000,-0.00800000,"Msini",70.08370000,"Multiple Observatories"
"KMT-2016-BLG-1836L b","KMT-2016-BLG-1836L",2.20000000,1.90000000,-1.10000000,"Mass",7100.00000000,"KMTNet"
"TOI-3160 A b","TOI-3160 A",1.19000000,0.16000000,-0.15000000,"Mass",567.67800000,"Transiting Exoplanet Survey Satellite (TESS)"
"K2-312 c","HD 80653",5.41000000,0.52000000,-0.44000000,"Msini",109.86000000,"Roque de los Muchachos Observatory"
"TOI-262 b","TOI-262",0.01550000,,,"M-R relationship",43.93200000,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-4184 b","TOI-4184",0.02040000,,,"M-R relationship",69.36490000,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-5489 b","TOI-5489",0.00800000,,,"M-R relationship",45.09070000,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-405 b","Kepler-405",0.01570000,,,"M-R relationship",1065.08000000,"Kepler"
"Kepler-1471 b","Kepler-1471",0.00809000,,,"M-R relationship",978.67800000,"Kepler"
"Kepler-129 b","Kepler-129",0.06292704,,,"Msini",408.84500000,"Kepler"
"GJ 3082 b","GJ 3082",0.02579996,0.00534877,-0.00534877,"Msini",16.61860000,"Multiple Facilities"
"Kepler-1515 b","Kepler-1515",0.20800000,,,"M-R relationship",539.32100000,"Kepler"
"Kepler-1723 b","Kepler-1723",0.02720000,,,"M-R relationship",811.27800000,"Kepler"
"Kepler-1176 b","Kepler-1176",0.02070000,,,"M-R relationship",864.69900000,"Kepler"
"Kepler-1783 b","Kepler-1783",0.00723000,,,"M-R relationship",264.07800000,"Kepler"
"TOI-6255 b","TOI-6255",0.00453075,0.00044049,-0.00044049,"Mass",20.31670000,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-157 b","TOI-157",1.18000000,0.13000000,-0.12000000,"Mass",355.68300000,"Transiting Exoplanet Survey Satellite (TESS)"
"OGLE-2017-BLG-0640L b","OGLE-2017-BLG-0640L",1.62000000,1.64000000,-0.94000000,"Mass",6630.00000000,"OGLE"
"OGLE-2013-BLG-1761L b","OGLE-2013-BLG-1761L",2.70000000,2.50000000,-1.50000000,"Mass",6900.00000000,"OGLE"
"OGLE-2017-BLG-1099L b","OGLE-2017-BLG-1099L",3.02000000,2.43000000,-1.81000000,"Mass",7250.00000000,"OGLE"
"Kepler-1421 b","Kepler-1421",0.00236000,,,"M-R relationship",783.40100000,"Kepler"
"Kepler-1442 b","Kepler-1442",0.04610000,,,"M-R relationship",608.68000000,"Kepler"
"Kepler-414 b","Kepler-414",0.01100000,0.01100000,-0.00900000,"Mass",413.46000000,"Kepler"
"HD 102888 b","HD 102888",5.69000000,0.15000000,-0.15000000,"Msini",126.48400000,"La Silla Observatory"
"Kepler-109 c","Kepler-109",0.02580009,,,"Mass",474.86100000,"Kepler"
"K2-59 b","K2-59",0.02010000,,,"M-R relationship",311.31300000,"K2"
"TOI-2458 c","TOI-2458",0.03215572,0.00538026,-0.00597807,"Msini",112.95800000,"La Silla Observatory"
"HAT-P-61 b","HAT-P-61",1.05700000,0.07000000,-0.07000000,"Mass",338.84000000,"HATNet"
"TOI-712 c","TOI-712",0.02440000,,,"M-R relationship",58.62120000,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-348 c","Kepler-348",0.00733000,,,"M-R relationship",570.78300000,"Kepler"
"Kepler-1200 b","Kepler-1200",0.00377000,,,"M-R relationship",588.71500000,"Kepler"
"HD 204941 b","HD 204941",0.23000000,0.03000000,-0.03000000,"Msini",28.71650000,"La Silla Observatory"
"TOI-1130 c","TOI-1130",1.05717423,0.00629270,-0.01573176,"Mass",58.26090000,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-1516 b","TOI-1516",3.16000000,0.12000000,-0.12000000,"Mass",247.05400000,"Transiting Exoplanet Survey Satellite (TESS)"
"HD 101581 b","HIP 56998",0.00260000,,,"M-R relationship",12.77810000,"Transiting Exoplanet Survey Satellite (TESS)"
"OGLE-2017-BLG-0406L b","OGLE-2017-BLG-0406L",0.41000000,0.05000000,-0.05000000,"Mass",5200.00000000,"OGLE"
"KMT-2017-BLG-0428L b","KMT-2017-BLG-0428L",0.01758811,0.01123248,-0.00890418,"Mass",5400.00000000,"KMTNet"
"Kepler-698 b","Kepler-698",0.04130000,,,"M-R relationship",1995.57000000,"Kepler"
"WASP-121 b","WASP-121",1.17000000,0.04300000,-0.04300000,"Mass",269.89800000,"SuperWASP"
"GJ 536 c","GJ 536",0.01853201,0.00220245,-0.00220245,"Msini",10.40920000,"Multiple Facilities"
"TOI-663 b","TOI-663",0.01400127,0.00198220,-0.00207659,"Mass",64.23080000,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-1259 A b","TOI-1259 A",0.44100000,0.04900000,-0.04700000,"Mass",118.10600000,"Transiting Exoplanet Survey Satellite (TESS)"
"Qatar-4 b","Qatar-4",6.10000000,0.54000000,-0.54000000,"Mass",329.03600000,"Qatar"
"K2-113 b","K2-113",1.29000000,0.13000000,-0.14000000,"Mass",635.72200000,"K2"
"TOI-150.01","TOI-150",2.51000000,0.12000000,-0.12000000,"Mass",336.26700000,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-2107 b","TOI-2107",0.83000000,0.11000000,-0.11000000,"Mass",236.70500000,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-1321 b","Kepler-1321",0.06760000,,,"M-R relationship",769.14600000,"Kepler"
"HD 10180 h","HD 10180",0.20300000,0.01400000,-0.01400000,"Msin(i)/sin(i)",38.96070000,"La Silla Observatory"
"HD 7924 b","HD 7924",6.47600000,,,"Mass",16.99220000,"W. M. Keck Observatory"
"HIP 57274 d","HIP 57274",0.52670000,0.03000000,-0.03000000,"Msini",25.86180000,"W. M. Keck Observatory"
"HD 215152 e","HD 215152",3.06900000,,,"Mass",21.59740000,"La Silla Observatory"
"KMT-2020-BLG-0414L c","KMT-2020-BLG-0414L",27.00000000,4.00000000,-3.10000000,"Mass",1220.00000000,"KMTNet"
"GJ 328 b","GJ 328",2.51000000,0.23000000,-0.23000000,"Msini",20.52660000,"McDonald Observatory"
"HD 16175 b","HD 16175",5.90000000,1.80000000,-1.00000000,"Mass",59.85900000,"Lick Observatory"
"Kepler-1195 b","Kepler-1195",0.01570000,,,"M-R relationship",918.56600000,"Kepler"
"Kepler-739 b","Kepler-739",0.03460000,,,"M-R relationship",1370.65000000,"Kepler"
"14 And b","14 And",3.55900000,0.11400000,-0.12200000,"Msini",75.43920000,"Okayama Astrophysical Observatory"
"K2-146 c","K2-146",0.02358000,0.00031000,-0.00031000,"Mass",79.30020000,"K2"
"OGLE-2013-BLG-0341L B b","OGLE-2013-BLG-0341L B",0.00522000,0.00057000,-0.00057000,"Mass",911.00000000,"OGLE"
"TOI-1248 b","TOI-1248",0.08621004,0.01132687,-0.01101223,"Mass",168.73500000,"Transiting Exoplanet Survey Satellite (TESS)"
"Qatar-7 b","Qatar-7",1.88000000,0.25000000,-0.25000000,"Mass",705.98100000,"Qatar"
"HATS-22 b","HATS-22",2.74000000,0.11000000,-0.11000000,"Mass",229.51800000,"HATSouth"
"TOI-4465 b","TOI-4465",5.89000000,0.26000000,-0.26000000,"Mass",121.13900000,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-2345 b","TOI-2345",0.01098077,0.00267440,-0.00267440,"Mass",81.65410000,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-5788 c","TOI-5788",0.02013665,0.00377562,-0.00377562,"Mass",97.61400000,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-5788 b","TOI-5788",0.01170443,0.00295757,-0.00295757,"Mass",97.61400000,"Transiting Exoplanet Survey Satellite (TESS)"
"HAT-P-38 b","HAT-P-38",0.26700000,0.02000000,-0.02000000,"Mass",255.20600000,"HATNet"
"HD 106315 b","HD 106315",0.03964383,0.01006828,-0.01006828,"Mass",109.35300000,"K2"
"TOI-1136 g","TOI-1136",0.01761957,0.01290004,-0.01006833,"Mass",84.53620000,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-5232 b","TOI-5232",2.34000000,0.16000000,-0.16000000,"Mass",609.38800000,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-912 b","TOI-912",0.01604639,0.00157318,-0.00157318,"Mass",26.10720000,"Transiting Exoplanet Survey Satellite (TESS)"
"V1298 Tau e","V1298 Tau",0.04813918,0.01321468,-0.01321468,"Mass",108.19900000,"K2"
"V1298 Tau c","V1298 Tau",0.01478785,0.00188781,-0.00188781,"Mass",108.19900000,"K2"
"LP 791-18 c","LP 791-18",0.02252788,0.00204513,-0.00204513,"Mass",26.49270000,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-1914 b","Kepler-1914",0.02820000,,,"M-R relationship",1621.56000000,"Kepler"
"Kepler-224 c","Kepler-224",0.03120000,,,"M-R relationship",782.08800000,"Kepler"
"HAT-P-64 b","HAT-P-64",0.58000000,0.18000000,-0.13000000,"Mass",651.89700000,"HATNet"
"TOI-1768.01","TOI-1768",0.03700000,,,"M-R relationship",157.59700000,"Transiting Exoplanet Survey Satellite (TESS)"
"HATS-40 b","HATS-40",1.59000000,0.24000000,-0.24000000,"Mass",1342.29000000,"HATSouth"
"HD 28109 c","HD 28109",0.02894644,0.00629270,-0.00629270,"Mass",139.61100000,"Transiting Exoplanet Survey Satellite (TESS)"
"BD+45 564 b","BD+45 564",1.36000000,0.12000000,-0.12000000,"Msini",53.62200000,"Haute-Provence Observatory"
"Kepler-911 b","Kepler-911",0.02290000,,,"M-R relationship",556.16800000,"Kepler"
"HD 102329 c","HD 102329",1.52000000,0.30000000,-0.25000000,"Msini",217.10700000,"W. M. Keck Observatory"
"TOI-5803 b","TOI-5803",0.03380000,,,"M-R relationship",84.01260000,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-1749 c","TOI-1749",0.04404893,,,"Mass",99.55610000,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-431 b","TOI-431",0.00965930,0.00110122,-0.00110122,"Mass",32.56860000,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-795 b","Kepler-795",0.01090000,,,"M-R relationship",492.12200000,"Kepler"
"TOI-2158 b","TOI-2158",0.82000000,0.08000000,-0.08000000,"Mass",198.47300000,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-163 b","Kepler-163",0.00364000,,,"M-R relationship",689.81400000,"Kepler"
"Kepler-1987 c","Kepler-1987",0.00733000,,,"M-R relationship",595.68300000,"Kepler"
"Kepler-668 b","Kepler-668",0.02440000,,,"M-R relationship",784.61800000,"Kepler"
"HD 219666 b","HD 219666",0.05500000,0.00300000,-0.00300000,"Mass",94.17190000,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-283 b","TOI-283",0.02057714,0.00641856,-0.00641856,"Mass",82.70130000,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-2046 b","TOI-2046",2.30000000,0.28000000,-0.28000000,"Mass",289.66800000,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-2459 b","TOI-2459",0.02840000,,,"M-R relationship",36.61130000,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-989 b","Kepler-989",0.01740000,,,"M-R relationship",491.97800000,"Kepler"
"HD 109833 b","HD 109833",0.02730000,,,"M-R relationship",79.55610000,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-1758 b","TOI-1758",0.02170983,0.01950738,-0.01982202,"Mass",96.62150000,"Transiting Exoplanet Survey Satellite (TESS)"
"HATS-51 b","HATS-51",0.76800000,0.04500000,-0.04500000,"Mass",389.57000000,"HATSouth"
"HR 858 d","HR 858",0.02233910,0.00503416,-0.00503416,"Mass",31.96400000,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-1446 b","Kepler-1446",0.00150000,,,"M-R relationship",152.07500000,"Kepler"
"Kepler-956 b","Kepler-956",0.02920000,,,"M-R relationship",544.93900000,"Kepler"
"Kepler-102 c","Kepler-102",0.00534880,,,"Mass",107.79600000,"Kepler"
"TOI-3493 b","TOI-3493",0.02822278,0.00368123,-0.00377562,"Mass",96.72240000,"Transiting Exoplanet Survey Satellite (TESS)"
"Wolf 327 b","Wolf 327",0.00796027,0.00144732,-0.00144732,"Mass",28.53210000,"Transiting Exoplanet Survey Satellite (TESS)"
"K2-414 b","K2-414",0.00622000,,,"M-R relationship",260.03600000,"K2"
"HATS-74 A b","HATS-74 A",1.46000000,0.14000000,-0.14000000,"Mass",299.38900000,"HATSouth"
"TOI-880 c","TOI-880",0.06830000,,,"M-R relationship",60.66790000,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-1278 b","TOI-1278",18.50000000,0.50000000,-0.50000000,"Mass",75.57590000,"Transiting Exoplanet Survey Satellite (TESS)"
"WASP-95 b","WASP-95",1.44000000,0.28000000,-0.28000000,"Mass",137.54400000,"SuperWASP"
"WASP-97 b","WASP-97",1.36000000,0.19000000,-0.19000000,"Mass",151.06800000,"SuperWASP"
"TOI-2096 b","TOI-2096",0.00653000,,,"M-R relationship",48.48090000,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-98 b","Kepler-98",0.01100000,0.00500000,-0.00500000,"Mass",350.31500000,"Kepler"
"Kepler-238 b","Kepler-238",10.39875583,,,"Mass",1798.75000000,"Kepler"
"Kepler-67 b","Kepler-67",0.02820000,,,"M-R relationship",1131.19000000,"Kepler"
"WASP-46 b","WASP-46",1.91000000,0.13000000,-0.13000000,"Mass",375.31000000,"SuperWASP"
"WASP-48 b","WASP-48",0.80000000,0.23000000,-0.23000000,"Mass",454.14400000,"SuperWASP"
"WASP-6 b","WASP-6",0.46700000,0.02400000,-0.02300000,"Mass",197.11900000,"SuperWASP"
"PDS 70 b","PDS 70",3.20000000,3.30000000,-1.60000000,"Mass",113.06400000,"Paranal Observatory"
"TYC 8998-760-1 b","TYC 8998-760-1",14.00000000,3.00000000,-3.00000000,"Mass",94.61770000,"Paranal Observatory"
"TrES-5 b","TrES-5",1.79000000,0.06800000,-0.06800000,"Mass",360.31300000,"TrES"
"WASP-114 b","WASP-114",1.76900000,0.06400000,-0.06400000,"Mass",523.33700000,"SuperWASP-North"
"TOI-2094 b","TOI-2094",0.01340000,,,"M-R relationship",50.02480000,"Transiting Exoplanet Survey Satellite (TESS)"
"HD 114386 c","HD 114386",0.37000000,0.03000000,-0.03000000,"Msini",27.92430000,"Las Campanas Observatory"
"TOI-1442 b","TOI-1442",0.00537000,,,"M-R relationship",41.16590000,"Transiting Exoplanet Survey Satellite (TESS)"
"WASP-25 b","WASP-25",0.56400000,0.02600000,-0.02500000,"Mass",211.41600000,"SuperWASP"
"TOI-6692 b","TOI-6692",0.62000000,0.08000000,-0.06500000,"Mass",312.90300000,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-700 c","TOI-700",0.02290000,,,"M-R relationship",31.12650000,"Transiting Exoplanet Survey Satellite (TESS)"
"WASP-44 b","WASP-44",0.87000000,0.06300000,-0.06200000,"Mass",364.51200000,"SuperWASP"
"Kepler-1542 d","Kepler-1542",0.00186000,,,"M-R relationship",399.11400000,"Kepler"
"K2-316 c","K2-316",0.01260000,,,"M-R relationship",112.48600000,"K2"
"TOI-1295 b","TOI-1295",1.42000000,0.08000000,-0.08000000,"Mass",388.22700000,"Transiting Exoplanet Survey Satellite (TESS)"
"K2-115 b","K2-115",1.01000000,0.22000000,-0.23000000,"Mass",413.59100000,"K2"
"LP 890-9 b","LP 890-9",0.04153184,,,"Mass",32.42980000,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-261.02","TOI-261",0.03510000,,,"M-R relationship",114.49500000,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-1203 e","TOI-1203",0.13246141,0.00575782,-0.00560051,"Msini",64.99430000,"La Silla Observatory"
"Kepler-1764 b","Kepler-1764",0.05930000,,,"M-R relationship",1542.48000000,"Kepler"
"Kepler-1269 b","Kepler-1269",0.01040000,,,"M-R relationship",1097.23000000,"Kepler"
"Kepler-681 b","Kepler-681",0.03050000,,,"M-R relationship",686.92300000,"Kepler"
"TOI-4641 b","TOI-4641",3.87000000,,,"Mass",86.35010000,"Transiting Exoplanet Survey Satellite (TESS)"
"XO-1 b","XO-1",0.83000000,0.13000000,-0.13000000,"Mass",163.55300000,"XO"
"WASP-190 b","WASP-190",1.00000000,0.10000000,-0.10000000,"Mass",542.25100000,"WASP-South"
"TOI-480 b","TOI-480",0.06544412,0.01384395,-0.01321468,"Mass",54.53060000,"Transiting Exoplanet Survey Satellite (TESS)"
"K2-196 b","K2-196",0.03970000,,,"M-R relationship",584.87700000,"K2"
"HD 200964 c","HD 200964",1.21400000,0.07200000,-0.07200000,"Msini",72.59220000,"Lick Observatory"
"Kepler-1315 b","Kepler-1315",0.00780000,,,"M-R relationship",480.86900000,"Kepler"
"K2-239 d","K2-239",0.00430000,,,"M-R relationship",31.08490000,"K2"
"Kepler-880 c","Kepler-880",0.02710000,,,"M-R relationship",601.32400000,"Kepler"
"K2-192 b","K2-192",0.00920000,,,"M-R relationship",221.75300000,"K2"
"TRAPPIST-1 d","TRAPPIST-1",0.00122078,0.00003776,-0.00003776,"Mass",12.42988881,"La Silla Observatory"
"TOI-4602.01","TOI-4602",0.02210000,,,"M-R relationship",63.06370000,"Transiting Exoplanet Survey Satellite (TESS)"
"HATS-26 b","HATS-26",0.65000000,0.07600000,-0.07600000,"Mass",861.84300000,"HATSouth"
"K2-190 b","K2-190",0.00758000,,,"M-R relationship",160.67900000,"K2"
"HD 23472 f","HD 23472",0.00242269,0.00138439,-0.00125854,"Mass",39.03410000,"Transiting Exoplanet Survey Satellite (TESS)"
"WASP-186 b","WASP-186",4.22000000,0.18000000,-0.18000000,"Mass",278.51400000,"SuperWASP"
"HD 95338 b","HD 95338",0.13500000,0.00680000,-0.00670000,"Mass",36.99410000,"Las Campanas Observatory"
"TOI-261.01","TOI-261",0.02990000,,,"M-R relationship",114.49500000,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-1054.01","TOI-1054",0.02050000,,,"M-R relationship",88.43430000,"Transiting Exoplanet Survey Satellite (TESS)"
"HIP 29442 c","TOI-469",0.01415858,0.00100683,-0.00100683,"Mass",68.19200000,"Paranal Observatory"
"K2-117 c","K2-117",0.01540000,,,"M-R relationship",101.63200000,"K2"
"HD 18742 b","HD 18742",3.40000000,1.20000000,-1.20000000,"Msini",162.68500000,"W. M. Keck Observatory"
"Kepler-873 b","Kepler-873",0.04260000,,,"M-R relationship",1182.22000000,"Kepler"
"TOI-3837 b","TOI-3837",0.59000000,0.05000000,-0.05000000,"Mass",311.70500000,"Transiting Exoplanet Survey Satellite (TESS)"
"K2-136 b","K2-136",0.01352931,,,"Mass",59.24740000,"K2"
"HAT-P-51 b","HAT-P-51",0.30700000,0.02100000,-0.02000000,"Mass",440.08900000,"HATNet"
"Kepler-1297 b","Kepler-1297",0.00274000,,,"M-R relationship",1439.47000000,"Kepler"
"Kepler-80 f","Kepler-80",14.03187979,,,"Mass",369.45100000,"Kepler"
"Kepler-113 c","Kepler-113",0.02737312,,,"Mass",262.35100000,"Kepler"
"WASP-8 c","WASP-8",9.45000000,2.26000000,-1.04000000,"Msini",89.96060000,"SuperWASP"
"Wendelstein-1 b","Wendelstein-1",0.59200000,0.16500000,-0.12900000,"Mass",305.30000000,"Haleakala Observatory"
"HATS-17 b","HATS-17",1.33800000,0.06500000,-0.06500000,"Mass",400.33100000,"HATSouth"
"TOI-3894 b","TOI-3894",0.82000000,0.14000000,-0.14000000,"Mass",417.36500000,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-1016 b","Kepler-1016",0.01700000,,,"M-R relationship",1402.82000000,"Kepler"
"WASP-68 b","WASP-68",1.08000000,0.25000000,-0.25000000,"Mass",226.39900000,"SuperWASP"
"HAT-P-56 b","HAT-P-56",2.31000000,0.44000000,-0.44000000,"Mass",320.63900000,"HATNet"
"TOI-6716 b","TOI-6716",0.00287000,,,"M-R relationship",18.88730000,"Transiting Exoplanet Survey Satellite (TESS)"
"HD 191939 f","HD 191939",2.88000000,0.26000000,-0.26000000,"Msini",53.60890000,"W. M. Keck Observatory"
"HD 235088 b","HD 235088",0.01305736,0.00261147,-0.00261147,"Mass",41.17060000,"Transiting Exoplanet Survey Satellite (TESS)"
"HIP 55507 b","HIP 55507",8.13500000,2.49200000,-1.71900000,"Mass",25.48930000,"Multiple Observatories"
"WASP-79 b","WASP-79",0.85000000,0.08000000,-0.08000000,"Mass",246.69000000,"SuperWASP"
"HD 77946 b","HD 77946",0.03429524,0.00566343,-0.00534880,"Mass",99.45100000,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-1136 d","TOI-1136",0.02627204,0.00566343,-0.00503416,"Mass",84.53620000,"Transiting Exoplanet Survey Satellite (TESS)"
"OGLE-2019-BLG-0299L b","OGLE-2019-BLG-0299L",6.22000000,3.80000000,-3.67000000,"Mass",5830.00000000,"OGLE"
"TOI-199 c","TOI-199",0.28000000,0.02000000,-0.01000000,"Mass",102.27000000,"Multiple Observatories"
"TOI-500 e","TOI-500",0.04735260,0.00352391,-0.00349245,"Msini",47.39240000,"La Silla Observatory"
"Kepler-1651 b","Kepler-1651",0.01270000,,,"M-R relationship",66.40740000,"Kepler"
