lake,value
planck,7.202531
t1,7.202531
t2,7.202531
t3,7.202531
t4,7.202531
n1,7.202531
n2,7.202531
n3,7.202531
n4,7.202531
b1,7.202531
b2,7.202531
b3,7.202531
chem,6.953676
mat,3.568417
frb,7.202531
closure,0
