lake,value
planck,0.2488547
t1,0.3100872
t2,0.2550327
t3,0.2961710
t4,0.2772293
n1,0.3066665
n2,0.3057428
n3,0.3023084
n4,0.2772293
b1,0.3197226
b2,0.3117813
b3,0.3197226
frb,0.3076541
