lake_a,lake_b,mean_pinch
frb,t2,0.000000e+00
frb,t3,0.000000e+00
frb,t4,0.000000e+00
frb,n1,0.000000e+00
frb,n2,0.000000e+00
frb,n3,0.000000e+00
frb,n4,0.000000e+00
frb,b1,0.000000e+00
frb,b2,0.000000e+00
frb,b3,0.000000e+00
frb,chem,2.488547e-01
frb,mat,3.634113e+00
frb,frb,0.000000e+00
frb,closure,7.202531e+00

closure,planck,7.202531e+00
closure,t1,7.202531e+00
closure,t2,7.202531e+00
closure,t3,7.202531e+00
closure,t4,7.202531e+00
closure,n1,7.202531e+00
closure,n2,7.202531e+00
closure,n3,7.202531e+00
closure,n4,7.202531e+00
closure,b1,7.202531e+00
closure,b2,7.202531e+00
closure,b3,7.202531e+00
closure,chem,6.953676e+00
closure,mat,3.568417e+00
closure,frb,7.202531e+00
closure,closure,0.000000e+00
