KIC,Teff,log(g),Mass,Prot,e_Prot,n_Prot,Rper,LPH,w,Ref,_RA,_DE
 ,K,[cm/s2],Msun,d,d, ,ppm, , , ,deg,deg
--------,----,-----,-------,------,------,---,----------,------,-------,-,---------,---------
5769712,4955,4.2,0.8226,13.164,0.031,   ,10280.73,1.347,0.7327,0,283.62772,41.09685
5769953,5657,4.35,1.0074,16.461,0.329,   ,6857.87,1.127,0.6201,0,283.75412,41.01651
5770018,5262,4.54,0.9021,1.618,0.007,   ,3817.08,0.49,0.2739,0,283.78192,41.04064
5770515,5804,4.31,1.0488,5.721,0.038,   ,2458.93,1.02,0.5853,0,284.01733,41.07511
5771149,4463,4.49,0.6899,13.074,0.01,   ,238549.53,1.658,0.7267,0,284.35178,41.0463
5771775,6169,4.58,1.1604,9.021,1.152,   ,571.58,0.291,0.2509,0,284.67566,41.05216
5771915,6215,4.25,1.1756,9.439,0.118,   ,438.15,0.643,0.4398,0,284.73688,41.03136
5771956,4596,4.54,0.7271,35.728,6.221,   ,4081.52,0.363,0.2628,0,284.75766,41.02283
5772278,5195,3.76,0.8847,32.929,1.446,   ,1734.64,0.416,0.257,0,284.92548,41.08888
5772911,6302,4.23,1.205,0.883,0.003,   ,13779.7,1.2,0.6679,0,285.23175,41.04699
5772927,4779,4.47,0.7764,21.053,0.099,   ,8544.42,0.982,0.6016,0,285.24051,41.06657
5773058,5252,4.88,0.8995,25.727,0.371,   ,1770.02,0.543,0.3985,0,285.30566,41.0658
5773086,6080,4.45,1.1319,4.216,0.006,   ,9928.11,1.169,0.6662,0,285.3157,41.00321
5773135,4989,4.5,0.8314,27.643,1.439,   ,5173.77,0.996,0.5464,0,285.33847,41.01107
5773403,5361,4.38,0.9279,21.697,0.283,   ,6138.68,0.673,0.4731,0,285.46768,41.08502
5773422,5785,4.14,1.0434,18.932,2.818,   ,1345.57,0.466,0.3391,0,285.48251,41.08791
5773489,5641,4.22,1.003,7.333,0.018,   ,10825.13,1.424,0.7524,0,285.51102,41.07736
5773502,5807,4.4,1.0497,12.486,0.119,   ,2640.37,0.49,0.3408,0,285.51852,41.08078
5773656,4945,4.61,0.82,29.674,1.023,   ,4122.82,0.553,0.3942,0,285.58295,41.02297
5773661,5611,4.4,0.9948,19.409,0.266,   ,1286.75,0.543,0.4076,0,285.58551,41.02552
5773784,5658,4.54,1.0077,6.511,0.12,   ,14082.19,1.376,0.7375,0,285.6391,41.01048
5773914,6002,4.42,1.1076,6.029,0.024,   ,7861.38,1.31,0.73,0,285.7037,41.00548
5773940,5701,4.56,1.0196,26.574,6.19,   ,2295.55,0.492,0.2975,0,285.71594,41.04498
5774321,4428,4.66,0.6799,44.208,10.155,   ,2776.09,0.638,0.3436,0,285.89722,41.07153
5774421,6275,4.29,1.1958,5.247,0.27,   ,1970.83,0.485,0.3672,0,285.94629,41.03686
5774525,5600,4.5,0.9917,6.605,0.009,   ,25516.99,1.5,0.7648,0,285.99121,41.01679
5774569,5319,4.51,0.9169,19.296,1.846,   ,3092.47,0.423,0.266,0,286.01428,41.05691
5774594,5789,4.41,1.0445,3.146,0.04,   ,815.9,0.585,0.3545,0,286.02689,41.03732
5774752,5280,4.72,0.9068,9.07,0.007,   ,31207.86,1.579,0.7386,0,286.08902,41.02755
5774815,5527,4.96,0.972,20.403,4.776,   ,1323.58,0.595,0.4367,0,286.11752,41.08068
5774937,5741,4.48,1.0309,9.292,0.045,   ,6581.01,1.111,0.6527,0,286.17603,41.07557
5774954,5296,4.92,0.9109,21.477,0.124,   ,4197.6,0.605,0.4112,0,286.18094,41.08534
5778952,5065,4.77,0.8511,27.055,0.049,   ,9617.21,0.926,0.527,0,287.84259,41.03575
5779130,5147,4.93,0.8723,11.927,0.031,   ,18756.39,1.261,0.6921,0,287.91602,41.02233
5779298,4965,4.59,0.8252,17.944,0.047,   ,17486.57,1.203,0.6728,0,287.98267,41.01526
