PSRJ,r_PSRJ,RAJ2000,DEJ2000,Plx,e_Plx,r_Plx,P0,e_P0,r_P0,DM,e_DM,r_DM,S400,e_S400,r_S400,Dist,DistDM,r_DistDM,Age,Edot
 , ,"h:m:s","d:m:s",mas,mas, ,s,s, ,pc/cm3,pc/cm3, ,mJy,mJy, ,kpc,kpc, ,yr,10-7W
------------,-------,-----------,-----------,------,------,-------,-----------------,--------,-------,-----------,-------,-------,-------,--------,------,-----,-----,----,-------------,--------
J1851+1259  ,stwd85 ,18 51 13.22,+12 59 35.3,      ,      ,       , 1.20530328456000, 1.1e-10,hlk+04 ,  70.615000,  2e-02,hlk+04 ,   8.00,  2.0000,lylg95, 3.50, 3.50,tc93,    1660000.0, 2.6e+32
J1852+0008  ,hfs+04 ,18 52 42.78,+00 08 09.6,      ,      ,       , 0.46789411307500, 2.0e-11,hfs+04 , 254.900000,  2e+00,hfs+04 ,       ,        ,      , 5.10, 5.10,tc93,    1310000.0, 2.2e+33
J1852+0013  ,hfs+04 ,18 52 41.78,+00 13 57.1,      ,      ,       , 0.95775094505000, 5.0e-11,hfs+04 , 545.000000,  3e+00,hfs+04 ,       ,        ,      , 7.22, 7.22,tc93,    1080000.0, 6.3e+32
J1852+0031  ,cjlm87 ,18 52 27.42,+00 32 02.0,      ,      ,       , 2.18019517754000, 1.5e-10,hlk+04 , 787.000000,  2e+01,hlk+04 ,       ,        ,      , 8.00,10.02,tc93,     356000.0, 3.7e+32
J1852+0033  ,zcl+14 ,18 52 46.60,+00 33 20.9,      ,      ,       ,11.55871346000000, 6.0e-08,rvi+14 ,           ,       ,       ,       ,        ,      ,     ,     ,    ,             ,
J1852+0040  ,ghs05  ,18 52 38.57,+00 40 19.8,      ,      ,       , 0.10491261114700, 4.0e-12,hg10   ,           ,       ,       ,       ,        ,      ,10.00,     ,    ,  192000000.0, 3.0e+32
J1852-0118  ,hfs+04 ,18 52 17.15,-01 18 14.8,      ,      ,       , 0.45147285265000, 3.0e-11,hfs+04 , 286.000000,  3e+00,hfs+04 ,       ,        ,      , 5.40, 5.40,tc93,    4070000.0, 7.5e+32
J1852-0127  ,hfs+04 ,18 52 03.60,-01 27 23.4,      ,      ,       , 0.42897892562000, 3.0e-11,hfs+04 , 431.000000,  3e+00,hfs+04 ,       ,        ,      , 6.43, 6.43,tc93,    1320000.0, 2.6e+33
J1852+0305  ,mhl+02 ,18 52 32.60,+03 05 05.0,      ,      ,       , 1.32614856700000, 8.0e-10,mhl+02 , 320.000000,  1e+01,mhl+02 ,       ,        ,      , 6.73, 6.73,tc93,  206000000.0, 1.7e+30
J1852-0635  ,hfs+04 ,18 52 57.38,-06 35 57.0,      ,      ,       , 0.52415088472000, 1.4e-10,hfs+04 , 171.000000,  6e+00,hfs+04 ,       ,        ,      , 4.60, 4.60,tc93,     567000.0, 4.0e+33
J1852-2610  ,mld+96 ,18 52 59.47,-26 10 12.7,      ,      ,       , 0.33633713162000, 6.0e-13,hlk+04 ,  56.814000,  2e-02,hlk+04 ,  12.00,        ,mld+96, 2.26, 2.26,tc93,   60800000.0, 9.1e+31
J1853-0004  ,hfs+04 ,18 53 23.02,-00 04 32.3,      ,      ,       , 0.10143574619810, 1.4e-12,hfs+04 , 438.200000,  8e-01,hfs+04 ,       ,        ,      , 6.58, 6.58,tc93,     288000.0, 2.1e+35
J1853+0011  ,hfs+04 ,18 53 29.97,+00 11 29.7,      ,      ,       , 0.39788189363300, 1.2e-11,hfs+04 , 568.800000,  2e+00,hfs+04 ,       ,        ,      , 7.48, 7.48,tc93,     188000.0, 2.1e+34
J1853+0056  ,mhl+02 ,18 53 32.66,+00 56 59.0,      ,      ,       , 0.27557759958000, 6.0e-11,mhl+02 , 180.900000,  1e+00,mhl+02 ,       ,        ,      , 3.82, 3.82,tc93,     204000.0, 4.0e+34
J1853+03    ,lbh+15 ,18 53 00.00,+03 00 00.0,      ,      ,       , 0.58553000000000,        ,lbh+15 , 290.200000,       ,lbh+15 ,       ,        ,      , 6.11, 6.11,tc93,             ,
J1853+0505  ,hfs+04 ,18 53 04.36,+05 05 26.1,      ,      ,       , 0.90513735425000, 3.0e-11,yws+15 , 279.000000,  3e+00,hfs+04 ,       ,        ,      , 7.54, 7.54,tc93,   11200000.0, 6.8e+31
J1853+0545  ,kbm+03 ,18 53 58.41,+05 45 55.3,      ,      ,       , 0.12640033324309, 1.6e-13,ywml10 , 198.700000,  5e-01,kbm+03 ,       ,        ,      , 4.77, 4.77,tc93,    3270000.0, 1.2e+34
J1853-0649  ,lbr+13 ,18 53 25.42,-06 49 25.9,      ,      ,       , 1.04813210508700, 5.4e-11,lbr+13 ,  44.541000,  4e-02,lbr+13 ,       ,        ,      , 1.89, 1.89,tc93,   10700000.0, 5.3e+31
J1853+0853  ,lfl+06 ,18 53 22.07,+08 53 17.0,      ,      ,       , 3.91465791570000, 5.0e-10,lfl+06 , 214.000000,  5e+00,lfl+06 ,       ,        ,      , 7.54, 7.54,tc93,   12100000.0, 3.4e+30
J1853+1303  ,fsk+04 ,18 53 57.32,+13 03 44.1, 0.100, 0.200,mnf+15 , 0.00409179738146, 3.0e-17,gsf+11 ,  30.570100,  6e-04,gsf+11 ,       ,        ,      , 1.60, 1.60,tc93, 7440000000.0, 5.0e+33
J1854+00    ,lbh+15 ,18 54 00.00,+00 00 00.0,      ,      ,       , 0.76733000000000,        ,lbh+15 , 532.900000,       ,lbh+15 ,       ,        ,      , 7.31, 7.31,tc93,             ,
J1854+0306  ,dcm+09 ,18 54 02.98,+03 06 14.0,      ,      ,       , 4.55782009620000, 1.0e-10,kkl+11 , 192.400000,  5e+00,kkl+11 ,       ,        ,      , 4.11, 4.11,tc93,     498000.0, 6.1e+31
J1854+0317  ,eklk13 ,18 54 29.06,+03 17 31.0,      ,      ,       , 1.36644964710000, 2.0e-10,eklk13 , 404.000000,  8e+00,eklk13 ,       ,        ,      , 7.95, 7.95,tc93,   11700000.0, 2.9e+31
J1854+1050  ,sstd86 ,18 54 29.33,+10 46 42.0,      ,      ,       , 0.57319698907800, 2.0e-11,hlk+04 , 207.200000,  3e-01,hlk+04 ,  11.00,        ,sstd86, 8.27, 8.27,tc93,   14200000.0, 1.3e+32
J1854-1421  ,mlt+78 ,18 54 44.29,-14 21 26.4,      ,      ,       , 1.14659484711800, 1.4e-11,hlk+04 , 130.400000,  3e-02,hlk+04 ,   8.00,  1.0000,lylg95, 5.23, 5.23,tc93,    4370000.0, 1.1e+32
J1854-1557  ,bbj+11 ,18 54 53.60,-15 57 22.0,      ,      ,       , 3.45320000000000, 1.0e-04,bbj+11 , 160.000000,  2e+01,bbj+11 ,       ,        ,      ,11.75,11.75,tc93,   12100000.0, 4.3e+30
J1855+0205  ,nab+13 ,18 55 42.05,+02 05 36.4,      ,      ,       , 0.24681676997320, 9.0e-13,nab+13 , 867.300000,  2e-01,nab+13 ,       ,        ,      ,16.48,16.48,tc93,   60500000.0, 1.7e+32
J1855+0307  ,hfs+04 ,18 55 26.63,+03 07 20.2,      ,      ,       , 0.84534757461000, 4.0e-11,hfs+04 , 402.500000,  2e+00,hfs+04 ,       ,        ,      , 7.45, 7.45,tc93,     740000.0, 1.2e+33
J1855+0422  ,mhl+02 ,18 55 41.37,+04 22 47.0,      ,      ,       , 1.67810632950000, 3.0e-10,mhl+02 , 438.000000,  6e+00,mhl+02 ,       ,        ,      , 9.85, 9.85,tc93,   28600000.0, 7.8e+30
J1855+0527  ,kel+09 ,18 55 15.07,+05 27 40.7,      ,      ,       , 1.39348448168000, 8.0e-11,kel+09 , 362.000000,  3e+00,kel+09 ,       ,        ,      , 9.70, 9.70,tc93,      82600.0, 3.9e+33
J1855+0700  ,hfs+04 ,18 55 17.72,+07 00 37.1,      ,      ,       , 0.25868464807100, 7.0e-12,hfs+04 , 244.000000,  4e+00,hfs+04 ,       ,        ,      , 6.84, 6.84,tc93,    5450000.0, 1.7e+33
J1855-0941  ,ebvb01 ,18 55 15.68,-09 41 02.0,      ,      ,       , 0.34540115992000, 4.0e-11,ebvb01 , 151.990000,  1e-01,hfs+04 ,       ,        ,      , 4.87, 4.87,tc93,   22800000.0, 2.3e+32
J1856+0102  ,hfs+04 ,18 56 28.50,+01 02 10.6,      ,      ,       , 0.62021711513500, 2.0e-11,hfs+04 , 554.000000,  3e+00,hfs+04 ,       ,        ,      , 8.61, 8.61,tc93,    8040000.0, 2.0e+32
J1856+0113  ,wcd91  ,18 56 10.65,+01 13 21.3,      ,      ,       , 0.26743960987000, 7.0e-11,hlk+04 ,  96.740000,  1e-01,hlk+04 ,   3.40,        ,lylg95, 3.30, 2.78,tc93,      20300.0, 4.3e+35
J1856+0245  ,hng+08 ,18 56 50.90,+02 45 47.0,      ,      ,       , 0.08090668906000, 4.0e-11,nab+13 , 623.500000,  2e-01,nab+13 ,       ,        ,      ,10.29,10.29,tc93,      20600.0, 4.6e+36
J1856+0404  ,mhl+02 ,18 56 26.60,+04 04 26.0,      ,      ,       , 0.42025215518000, 9.0e-11,mhl+02 , 341.300000,  7e-01,mhl+02 ,       ,        ,      , 6.98, 6.98,tc93,  180000000.0, 2.0e+31
J1856-0526  ,lfl+06 ,18 56 21.98,-05 26 56.8,      ,      ,       , 0.37048341742900, 7.0e-12,lfl+06 , 130.500000,  4e-01,lfl+06 ,       ,        ,      , 3.45, 3.45,tc93,    3460000.0, 1.3e+33
J1856-3754  ,tm07   ,18 56 35.41,-37 54 08.0, 6.200, 0.600,vk07   , 7.05520287000000, 3.0e-08,vk08   ,           ,       ,       ,       ,        ,      , 0.16,     ,    ,    3760000.0, 3.3e+30
J1857+0057  ,moh83  ,18 57 00.80,+00 57 16.8,      ,      ,       , 0.35692899802200, 4.0e-12,hlk+04 ,  82.390000,  1e-01,hlk+04 ,   5.00,        ,moh83 , 2.63, 2.63,tc93,  104000000.0, 4.7e+31
J1857+0143  ,hfs+04 ,18 57 33.01,+01 43 47.0,      ,      ,       , 0.13976006451500, 4.0e-12,hfs+04 , 249.000000,  3e+00,hfs+04 ,       ,        ,      , 5.18, 5.18,tc93,      71000.0, 4.5e+35
J1857+0210  ,mhl+02 ,18 57 40.90,+02 10 58.0,      ,      ,       , 0.63098305833000, 6.0e-11,mhl+02 , 783.000000,  1e+01,mhl+02 ,       ,        ,      ,15.01,15.01,tc93,     712000.0, 2.2e+33
J1857+0212  ,cl86   ,18 57 43.64,+02 12 41.1,      ,      ,       , 0.41582305526300, 7.0e-12,hlk+04 , 506.770000,  2e-01,hlk+04 ,       ,        ,      , 8.00, 8.63,tc93,     164000.0, 2.2e+34
J1857+0526  ,kbm+03 ,18 57 15.86,+05 26 28.7,      ,      ,       , 0.34995117752200, 4.0e-12,kbm+03 , 466.400000,  1e+00,kbm+03 ,       ,        ,      ,11.44,11.44,tc93,     800000.0, 6.4e+33
J1857+0809  ,hfs+04 ,18 57 09.31,+08 09 04.3,      ,      ,       , 0.50292387051600, 1.3e-11,hfs+04 , 282.000000,  3e+00,hfs+04 ,       ,        ,      , 8.72, 8.72,tc93,    1680000.0, 1.5e+33
J1857+0943  ,srs+86 ,18 57 36.39,+09 43 17.2, 0.300, 0.200,mnf+15 , 0.00536210054793, 3.0e-17,rhc+15 ,  13.298400,       ,rhc+15 ,  31.00,        ,ffb91 , 0.70, 0.70,tc93, 4760000000.0, 4.6e+33
J1857-1027  ,ebvb01 ,18 57 26.45,-10 27 01.0,      ,      ,       , 3.68721904770000, 3.0e-10,ebvb01 , 108.900000,  7e-01,ebvb01 ,       ,        ,      , 3.64, 3.64,tc93,    5540000.0, 8.3e+30
J1858+02    ,lbh+15 ,18 58 00.00,+02 00 00.0,      ,      ,       , 0.19765000000000,        ,lbh+15 , 492.100000,       ,lbh+15 ,       ,        ,      , 8.51, 8.51,tc93,             ,
J1858+0215  ,mhl+02 ,18 58 17.43,+02 15 38.0,      ,      ,       , 0.74582803200000, 3.0e-10,mhl+02 , 702.000000,  1e-01,mhl+02 ,       ,        ,      ,12.46,12.46,tc93,    2560000.0, 4.4e+32
J1858+0241  ,hfs+04 ,18 58 53.81,+02 41 38.0,      ,      ,       , 4.69323293330000, 1.2e-09,hfs+04 , 336.000000,  2e+01,hfs+04 ,       ,        ,      , 6.46, 6.46,tc93,    3060000.0, 9.3e+30
J1858+0346  ,nab+13 ,18 58 22.36,+03 46 37.8,      ,      ,       , 0.25684379795000, 5.0e-12,nab+13 , 386.000000,  1e+00,nab+13 ,       ,        ,      , 7.28, 7.28,tc93,    1990000.0, 4.8e+33
J1858-0736  ,kek+13 ,18 58 44.30,-07 37 00.0,      ,      ,       , 0.55105859100000, 2.0e-09,kek+13 , 194.000000,       ,kek+13 ,       ,        ,      , 7.20, 7.20,tc93,    1730000.0, 1.2e+33
J1858-2216  ,rap+12 ,18 58 00.00,-22 16 00.0,      ,      ,       , 0.00238000000000,        ,rap+12 ,  26.600000,       ,rap+12 ,       ,        ,      , 1.35, 1.35,tc93,             ,
J1859+00    ,cnst96 ,18 59 46.00,+00 35 00.0,      ,      ,       , 0.55963400000000, 3.0e-06,cnst96 , 420.000000,  3e+00,hfs+04 ,       ,        ,      , 8.91, 8.91,tc93,             ,
J1859+0601  ,hfs+04 ,18 59 45.76,+06 01 46.1,      ,      ,       , 1.04431270179000, 1.5e-10,hfs+04 , 276.000000,  7e+00,hfs+04 ,       ,        ,      , 5.98, 5.98,tc93,     649000.0, 8.8e+32
J1859+1526  ,nft95  ,18 59 44.39,+15 26 11.0,      ,      ,       , 0.93397158230800, 1.9e-11,cn95   ,  97.450000,  2e-02,cn95   ,   1.50,        ,cn95  , 4.76, 4.76,tc93,    3770000.0, 1.9e+32
J1859+76    ,slr+14 ,18 59 00.00,+76 54 00.0,      ,      ,       , 1.39361700000000, 8.7e-05,slr+14 ,  47.000000,  2e+00,slr+14 ,   3.30,        ,slr+14, 4.02, 4.02,tc93,             ,
J1900-0051  ,hfs+04 ,19 00 46.64,-00 51 08.4,      ,      ,       , 0.38519409486200, 6.0e-12,hfs+04 , 136.800000,  7e-01,hfs+04 ,       ,        ,      , 3.30, 3.30,tc93,   42900000.0, 9.8e+31
J1900+0227  ,mhl+02 ,19 00 38.60,+02 27 32.0,      ,      ,       , 0.37426157516000, 3.0e-11,mhl+02 , 201.100000,  2e+00,mhl+02 ,       ,        ,      , 4.32, 4.32,tc93,    1040000.0, 4.3e+33
J1900+0308  ,csl+12 ,19 00 50.55,+03 08 24.1,      ,      ,       , 0.00490923901642, 5.0e-15,csl+12 , 249.898000,  1e-02,csl+12 ,       ,        ,      , 5.27, 5.27,tc93,13200000000.0, 2.0e+33
J1900+0634  ,hfs+04 ,19 00 28.03,+06 34 20.9,      ,      ,       , 0.38986910117800, 2.0e-11,hfs+04 , 323.400000,  2e+00,hfs+04 ,       ,        ,      , 7.31, 7.31,tc93,    1210000.0, 3.4e+33
J1900-09    ,bbb+12 ,19 00 14.00,-09 28 07.0,      ,      ,       , 1.42400000000000,        ,bbb+12 , 150.000000,       ,bbb+12 ,       ,        ,      , 5.76, 5.76,tc93,             ,
J1900-2600  ,vl70   ,19 00 47.58,-26 00 43.8, 0.500, 0.600,fgbc99 , 0.61220920443830, 7.0e-13,hlk+04 ,  37.994000,  5e-03,hlk+04 , 131.00, 12.0000,lylg95, 0.70, 1.71,tc93,   47400000.0, 3.5e+31
J1900+30    ,cnst96 ,19 00 18.00,+30 53 00.0,      ,      ,       , 0.60222700000000, 3.0e-06,cnst96 ,  65.000000,  1e+01,cnst96 ,       ,        ,      , 4.56, 4.56,tc93,             ,
J1900-7951  ,mlt+78 ,19 00 24.40,-79 51 48.2,      ,      ,       , 1.27919319350000, 6.0e-10,nmc81  ,  39.000000,  5e+00,nmc81  ,   6.50,        ,tml93 , 3.87, 3.87,tc93,   10900000.0, 3.5e+31
J1901+00    ,cnst96 ,19 01 32.00,+00 26 00.0,      ,      ,       , 0.77766200000000, 3.0e-06,cnst96 , 345.500000,  1e+00,hfs+04 ,       ,        ,      , 8.15, 8.15,tc93,             ,
