PSRJ,r_PSRJ,RAJ2000,DEJ2000,Plx,e_Plx,r_Plx,P0,e_P0,r_P0,DM,e_DM,r_DM,S400,e_S400,r_S400,Dist,DistDM,r_DistDM,Age,Edot
 , ,"h:m:s","d:m:s",mas,mas, ,s,s, ,pc/cm3,pc/cm3, ,mJy,mJy, ,kpc,kpc, ,yr,10-7W
------------,-------,-----------,-----------,------,------,-------,-----------------,--------,-------,-----------,-------,-------,-------,--------,------,-----,-----,----,-------------,--------
J0006+1834  ,cnt96  ,00 06 04.80,+18 34 59.0,      ,      ,       , 0.69374767047000, 1.4e-10,cn95   ,  12.000000,  6e-01,cn95   ,   0.20,        ,cn95  , 0.70, 0.70,tc93,    5240000.0, 2.5e+32
J0007+7303  ,aaa+09c,00 07 01.70,+73 03 07.4,      ,      ,       , 0.31587319090000, 3.0e-10,awd+12 ,           ,       ,       ,       ,        ,      , 1.40,     ,    ,      13900.0, 4.5e+35
J0014+4746  ,dth78  ,00 14 17.75,+47 46 33.4,      ,      ,       , 1.24069903894600, 1.1e-11,hlk+04 ,  30.850000,  7e-02,hlk+04 ,  14.00,  2.0000,lylg95, 1.82, 1.82,tc93,   34800000.0, 1.2e+31
J0023+0923  ,hrm+11 ,00 23 16.88,+09 23 23.9, 0.400, 0.300,mnf+15 , 0.00305000000000,        ,hrm+11 ,  14.300000,       ,hrm+11 ,   2.00,        ,hrm+11, 1.00, 0.95,tc93,             ,
J0024-7204C ,mld+90 ,00 23 50.35,-72 04 31.5,      ,      ,       , 0.00575677999551, 1.7e-16,fck+03 ,  24.599000,  2e-03,fkl+01 ,   1.53,        ,rlm+95, 4.00, 2.49,tc93,             ,
J0024-7204D ,mlr+91 ,00 24 13.88,-72 04 43.8,      ,      ,       , 0.00535757328486, 1.8e-16,fck+03 ,  24.729000,  2e-03,fkl+01 ,   0.95,        ,rlm+95, 4.00, 2.49,tc93,             ,
J0024-7204E ,mlr+91 ,00 24 11.10,-72 05 20.1,      ,      ,       , 0.00353632915276, 1.3e-16,fck+03 ,  24.230000,  2e-03,fkl+01 ,       ,        ,      , 4.00, 2.49,tc93,  569000000.0, 8.8e+34
J0024-7204F ,mlr+91 ,00 24 03.85,-72 04 42.8,      ,      ,       , 0.00262357935251, 1.4e-16,fck+03 ,  24.379000,  5e-03,fkl+01 ,       ,        ,      , 4.00, 2.49,tc93,  644000000.0, 1.4e+35
J0024-7204G ,rlm+95 ,00 24 07.96,-72 04 39.7,      ,      ,       , 0.00404037914356, 4.0e-16,fck+03 ,  24.441000,  5e-03,fkl+01 ,       ,        ,      , 4.00, 2.49,tc93,             ,
J0024-7204H ,mlr+91 ,00 24 06.70,-72 04 06.8,      ,      ,       , 0.00321034070935, 5.0e-16,fck+03 ,  24.360000,  3e-02,fkl+01 ,       ,        ,      , 4.00, 2.49,tc93,             ,
J0024-7204I ,mlr+91 ,00 24 07.93,-72 04 39.7,      ,      ,       , 0.00348499206166, 5.0e-16,fck+03 ,  24.420000,  2e-02,fkl+01 ,       ,        ,      , 4.00, 2.49,tc93,             ,
J0024-7204J ,mlr+91 ,00 23 59.41,-72 03 58.8,      ,      ,       , 0.00210063354535, 3.0e-17,fck+03 ,  24.584800,  9e-04,fck+03 ,       ,        ,      , 4.00, 2.49,tc93,             ,
J0024-7204L ,rlm+95 ,00 24 03.77,-72 04 56.9,      ,      ,       , 0.00434616799946, 1.4e-15,fck+03 ,  24.380000,  5e-02,fkl+01 ,       ,        ,      , 4.00, 2.49,tc93,             ,
J0024-7204M ,mlr+91 ,00 23 54.49,-72 05 30.7,      ,      ,       , 0.00367664321760, 1.0e-15,fck+03 ,  24.420000,  2e-02,fkl+01 ,       ,        ,      , 4.00, 2.49,tc93,             ,
J0024-7204N ,rlm+95 ,00 24 09.19,-72 04 28.9,      ,      ,       , 0.00305395434626, 4.0e-16,fck+03 ,  24.560000,  3e-02,fkl+01 ,       ,        ,      , 4.00, 2.49,tc93,             ,
J0024-7204O ,clf+00 ,00 24 04.65,-72 04 53.8,      ,      ,       , 0.00264334329724, 3.0e-16,fck+03 ,  24.363000,  1e-02,fck+03 ,       ,        ,      , 4.00, 2.49,tc93, 1380000000.0, 6.5e+34
J0024-7204P ,clf+00 ,00 24 05.67,-72 04 52.6,      ,      ,       , 0.00364302100000, 1.0e-09,clf+00 ,  24.300000,  1e-01,clf+00 ,       ,        ,      , 4.00, 2.49,tc93,             ,
J0024-7204Q ,clf+00 ,00 24 16.49,-72 04 25.2,      ,      ,       , 0.00403318118457, 5.0e-16,fck+03 ,  24.290000,  2e-02,fkl+01 ,       ,        ,      , 4.00, 2.49,tc93, 1880000000.0, 2.0e+34
J0024-7204R ,clf+00 ,00 24 05.67,-72 04 52.6,      ,      ,       , 0.00348046300000, 1.0e-09,clf+00 ,  24.400000,  1e-01,clf+00 ,       ,        ,      , 4.00, 2.49,tc93,             ,
J0024-7204S ,clf+00 ,00 24 03.98,-72 04 42.3,      ,      ,       , 0.00283040595788, 5.0e-16,fck+03 ,  24.353000,  9e-03,fck+03 ,       ,        ,      , 4.00, 2.49,tc93,             ,
J0024-7204T ,clf+00 ,00 24 08.55,-72 04 38.9,      ,      ,       , 0.00758847980736, 5.0e-15,fck+03 ,  24.390000,  6e-02,fkl+01 ,       ,        ,      , 4.00, 2.49,tc93,  409000000.0, 2.7e+34
J0024-7204U ,clf+00 ,00 24 09.84,-72 03 59.7,      ,      ,       , 0.00434282669639, 4.0e-16,fck+03 ,  24.335000,  4e-03,fkl+01 ,       ,        ,      , 4.00, 2.49,tc93,  723000000.0, 4.6e+34
J0024-7204V ,clf+00 ,00 24 05.67,-72 04 52.6,      ,      ,       , 0.00481000000000, 1.0e-06,clf+00 ,  24.100000,  1e-01,clf+00 ,       ,        ,      , 4.00, 2.49,tc93,             ,
J0024-7204W ,clf+00 ,00 24 06.07,-72 04 49.0,      ,      ,       , 0.00235234400000, 1.0e-09,clf+00 ,  24.300000,  1e-01,clf+00 ,       ,        ,      , 4.00, 2.49,tc93,             ,
J0024-7204X ,fre08  ,00 24 05.67,-72 04 52.6,      ,      ,       , 0.00477100000000,        ,fre08  ,  24.000000,  2e-01,fre08  ,       ,        ,      , 4.00, 2.49,tc93,             ,
J0024-7204Y ,fre08  ,00 24 05.67,-72 04 52.6,      ,      ,       , 0.00219666000000,        ,fre08  ,  24.200000,  1e-01,fre08  ,       ,        ,      , 4.00, 2.49,tc93,             ,
J0024-7204Z ,fre08  ,00 24 05.67,-72 04 52.6,      ,      ,       , 0.00455400000000,        ,fre08  ,  24.470000,  1e-02,fre08  ,       ,        ,      , 4.00, 2.49,tc93,             ,
J0026+6320  ,jml+09 ,00 26 50.56,+63 20 00.9,      ,      ,       , 0.31835773123500, 1.0e-12,jml+09 , 230.310000,       ,jml+09 ,       ,        ,      ,13.60,13.60,tc93,   33600000.0, 1.8e+32
J0030+0451  ,lzb+00 ,00 30 27.43,+04 51 39.7, 3.300, 0.200,mnf+15 , 0.00486545320737, 3.0e-16,aaa+09e,   4.332520,  4e-05,srb+15 ,   7.90,  0.2000,lzb+00, 0.30, 0.23,tc93, 7580000000.0, 3.5e+33
J0033+57    ,hrk+08 ,00 33 00.00,+57 00 00.0,      ,      ,       , 0.31500000000000,        ,hrk+08 ,  76.000000,       ,hrk+08 ,       ,        ,      , 3.34, 3.34,tc93,             ,
J0033+61    ,hrk+08 ,00 33 00.00,+61 00 00.0,      ,      ,       , 0.91200000000000,        ,hrk+08 ,  37.000000,       ,hrk+08 ,       ,        ,      , 1.92, 1.92,tc93,             ,
J0034-0534  ,bhl+94 ,00 34 21.83,-05 34 36.6,      ,      ,       , 0.00187718188458, 2.0e-16,aaa+10b,  13.765170,  4e-05,aaa+10b,  17.00,  5.0000,tbms98, 0.98, 0.98,tc93, 5990000000.0, 3.0e+34
J0034-0721  ,lvw69a ,00 34 08.87,-07 21 53.4, 0.930, 0.080,cbv+09 , 0.94295099455980, 1.7e-12,hlk+04 ,  10.922000,  6e-03,srb+15 ,  52.00, 12.0000,lylg95, 1.03, 0.63,tc93,   36600000.0, 1.9e+31
J0034+69    ,slr+14 ,00 34 00.00,+69 43 00.0,      ,      ,       , 0.03680412000000, 1.6e-07,slr+14 ,  80.000000,  3e-01,slr+14 ,   4.50,        ,slr+14, 3.99, 3.99,tc93,             ,
J0040+5716  ,dtws85 ,00 40 32.36,+57 16 24.9,      ,      ,       , 1.11822534524120, 1.3e-12,hlk+04 ,  92.595000,  9e-03,hlk+04 ,   5.00,        ,slr+14, 4.48, 4.48,tc93,    6150000.0, 8.1e+31
J0045-7042  ,mfl+06 ,00 45 25.69,-70 42 07.1,      ,      ,       , 0.63233580002000, 6.0e-11,mfl+06 ,  70.000000,  3e+00,mfl+06 ,       ,        ,      ,59.70, 2.43,tc93,    4020000.0, 3.9e+32
J0045-7319  ,mmh+91 ,00 45 35.16,-73 19 03.0,      ,      ,       , 0.92627590497000, 3.0e-11,kbm+96 , 105.400000,  7e-01,kjb+94 ,   1.00,        ,mmh+91,59.70, 2.55,tc93,    3290000.0, 2.2e+32
J0048+3412  ,dtws85 ,00 48 33.98,+34 12 08.0,      ,      ,       , 1.21709429605800, 8.0e-12,hlk+04 ,  39.940000,  4e-02,hlk+04 ,   2.30,  0.3000,lylg95, 3.68, 3.68,tc93,    8190000.0, 5.2e+31
J0051+0423  ,snt97  ,00 51 30.10,+04 22 49.0,      ,      ,       , 0.35473179890000, 1.0e-11,snt97  ,  13.900000,  1e-01,snt97  ,   3.00,  3.0000,snt97 , 0.94, 0.94,tc93,  803000000.0, 6.2e+30
J0053+69    ,slr+14 ,00 53 00.00,+69 39 00.0,      ,      ,       , 0.83293800000000, 2.8e-05,slr+14 , 117.000000,  2e+00,slr+14 ,  30.50,        ,slr+14, 8.40, 8.40,tc93,             ,
J0054+66    ,hrk+08 ,00 54 00.00,+66 00 00.0,      ,      ,       , 1.39000000000000,        ,hrk+08 ,  15.000000,       ,hrk+08 ,       ,        ,      , 0.81, 0.81,tc93,             ,
J0054+69    ,kkl+15 ,00 54 28.00,+69 26 00.0,      ,      ,       ,                 ,        ,       ,  90.300000,  2e-01,kkl+15 ,       ,        ,      , 4.73, 4.73,tc93,             ,
J0055+5117  ,dtws85 ,00 55 45.38,+51 17 25.0,      ,      ,       , 2.11517114886500, 4.0e-12,hlk+04 ,  44.125000,  1e-02,hlk+04 ,   3.40,  0.4000,lylg95, 2.40, 2.40,tc93,    3510000.0, 4.0e+31
J0056+4756  ,dtws85 ,00 56 25.51,+47 56 10.5,      ,      ,       , 0.47203666207600, 7.0e-12,hlk+04 ,  18.090000,  4e-02,hlk+04 ,   3.00,  0.5000,lylg95, 1.00, 1.00,tc93,    2250000.0, 1.2e+33
J0057-7201  ,ckm+01 ,00 57 44.00,-72 01 19.0,      ,      ,       , 0.73806244260000, 2.0e-10,ckm+01 ,  27.000000,  5e+00,ckm+01 ,       ,        ,      , 2.49, 2.49,tc93,  117000000.0, 9.8e+30
J0058+6125  ,hrk+08 ,00 58 00.00,+61 25 00.0,      ,      ,       , 0.63700000000000,        ,hrk+08 , 129.000000,       ,hrk+08 ,       ,        ,      , 5.81, 5.81,tc93,             ,
J0059+50    ,slr+14 ,00 59 00.00,+50 02 00.0,      ,      ,       , 0.99600900000000, 6.1e-05,slr+14 ,  67.000000,  2e+00,slr+14 ,   5.60,        ,slr+14, 5.79, 5.79,tc93,             ,
J0100-7211  ,lfmp02 ,01 00 43.03,-72 11 33.6,      ,      ,       , 8.02039200000000, 9.0e-06,mgr+05 ,           ,       ,       ,       ,        ,      ,59.70,     ,    ,       6760.0, 1.4e+33
J0101-6422  ,kcj+12 ,01 01 11.12,-64 22 30.2,      ,      ,       , 0.00257315197217, 2.0e-16,kcj+12 ,  11.926000,  1e-03,kcj+12 ,       ,        ,      , 0.73, 0.73,tc93, 7900000000.0, 1.2e+34
J0102+4839  ,hrm+11 ,01 03 00.00,+48 00 00.0,      ,      ,       , 0.00296000000000,        ,hrm+11 ,  53.500000,       ,hrm+11 ,   0.50,        ,hrm+11, 4.03, 4.03,tc93,             ,
J0102+6537  ,dbtb82 ,01 02 32.96,+65 37 13.4,      ,      ,       , 1.67916422906400, 1.2e-11,hlk+04 ,  65.853000,  2e-02,hlk+04 ,  29.70,        ,slr+14, 2.45, 2.45,tc93,    4470000.0, 5.0e+31
J0103+54    ,kkl+15 ,01 03 37.00,+54 02 00.0,      ,      ,       , 0.35430400000000, 6.0e-06,kkl+15 ,  55.605000,  4e-03,kkl+15 ,       ,        ,      , 2.69, 2.69,tc93,             ,
J0106+4855  ,pga+12 ,01 06 25.06,+48 55 51.8,      ,      ,       , 0.08315730500500, 6.0e-13,pga+12 ,  70.870000,  2e-01,pga+12 ,       ,        ,      , 7.33, 7.33,tc93,    3080000.0, 2.9e+34
J0108-1431  ,tnj+94 ,01 08 08.35,-14 31 50.2, 4.200, 1.400,dtbr09 , 0.80756461401900, 2.0e-11,hlk+04 ,   2.380000,  2e-01,hlk+04 ,   9.00,        ,mld+96, 0.21, 0.13,tc93,  166000000.0, 5.8e+30
J0108+6608  ,dls72  ,01 08 22.64,+66 08 34.0,      ,      ,       , 1.28365984290000, 5.0e-10,hlk+04 ,  30.460000,  5e-02,hlk+04 ,  10.00,  1.0000,lylg95, 1.65, 1.65,tc93,    1560000.0, 2.4e+32
J0108+6905  ,dtws85 ,01 08 29.50,+69 05 52.6,      ,      ,       , 1.07111810985900, 5.0e-12,hlk+04 ,  61.092000,  2e-02,hlk+04 ,  30.50,        ,slr+14, 2.59, 2.59,tc93,  353000000.0, 1.5e+30
J0111-7131  ,mfl+06 ,01 11 28.77,-71 31 46.8,      ,      ,       , 0.68854151164000, 5.0e-11,mfl+06 ,  76.000000,  3e+00,mfl+06 ,       ,        ,      ,59.70, 2.46,tc93,    1540000.0, 8.6e+32
J0112+66    ,slr+14 ,01 12 00.00,+66 22 00.0,      ,      ,       , 4.30124000000000, 7.0e-04,slr+14 , 112.000000,  3e+00,slr+14 ,  13.60,        ,slr+14, 5.25, 5.25,tc93,             ,
J0113-7220  ,ckm+01 ,01 13 11.09,-72 20 32.2,      ,      ,       , 0.32588301613000, 1.0e-11,ckm+01 , 125.490000,  3e-02,ckm+01 ,       ,        ,      ,59.70, 2.51,tc93,    1060000.0, 5.5e+33
J0117+5914  ,stwd85 ,01 17 38.66,+59 14 38.4,      ,      ,       , 0.10143906648240, 2.0e-12,hlk+04 ,  49.423000,  4e-03,hlk+04 ,  43.40,        ,slr+14, 2.14, 2.14,tc93,     275000.0, 2.2e+35
J0125+62    ,slr+14 ,01 26 00.00,+62 35 00.0,      ,      ,       , 1.70823300000000, 9.8e-05,slr+14 , 118.000000,  2e+00,slr+14 ,   3.40,        ,slr+14, 5.10, 5.10,tc93,             ,
J0131-7310  ,mfl+06 ,01 31 28.51,-73 10 09.3,      ,      ,       , 0.34812404558100, 7.0e-12,mfl+06 , 205.200000,  7e-01,mfl+06 ,       ,        ,      ,59.70, 2.55,tc93,    3130000.0, 1.6e+33
J0133-6957  ,lml+98 ,01 33 32.46,-69 57 29.7,      ,      ,       , 0.46347374170300, 3.0e-12,dsb+98 ,  22.948000,  8e-03,dsb+98 ,   5.00,        ,lml+98, 2.42, 2.42,tc93,   61200000.0, 4.8e+31
J0134-2937  ,mld+96 ,01 34 18.67,-29 37 16.9,      ,      ,       , 0.13696158413510, 1.0e-13,hlk+04 ,  21.806000,  6e-03,hlk+04 ,   9.00,        ,mld+96, 1.78, 1.78,tc93,   27700000.0, 1.2e+33
J0136+63    ,slr+14 ,01 36 00.00,+63 42 00.0,      ,      ,       , 0.71789500000000, 2.7e-05,slr+14 , 286.000000,  2e+00,slr+14 ,   3.30,        ,slr+14,24.03,24.03,tc93,             ,
J0137+1654  ,lxf+05 ,01 37 23.88,+16 54 42.1,      ,      ,       , 0.41476302650820, 5.0e-13,lxf+05 ,  26.600000,  4e-01,lxf+05 ,   1.40,        ,lxf+05, 2.51, 2.51,tc93,  537000000.0, 6.8e+30
J0139+5621  ,cvh+14 ,01 39 38.56,+56 21 36.8,      ,      ,       , 1.77534382596000, 1.0e-10,cvh+14 , 101.842000,  3e-02,cvh+14 ,   0.70,  0.3000,cvh+14, 5.54, 5.54,tc93,     356000.0, 5.6e+32
J0139+5814  ,dth78  ,01 39 19.74,+58 14 31.8, 0.370, 0.040,cbv+09 , 0.27245063095000, 1.5e-11,hlk+04 ,  73.779000,  6e-03,hlk+04 ,  52.70,        ,slr+14, 2.60, 2.89,tc93,     403000.0, 2.1e+34
J0141+6009  ,mth72  ,01 41 39.94,+60 09 32.3,      ,      ,       , 1.22294852054570, 1.8e-12,hlk+04 ,  34.926000,  4e-03,srb+15 ,  64.90,        ,slr+14, 2.30, 2.61,tc93,   49500000.0, 8.4e+30
J0141+63    ,slr+14 ,01 41 00.00,+63 08 00.0,      ,      ,       , 0.04668588000000, 4.9e-07,slr+14 , 272.600000,  4e-01,slr+14 ,   1.30,        ,slr+14,21.68,21.68,tc93,             ,
J0146+6145  ,ims94  ,01 46 22.42,+61 45 02.8,      ,      ,       , 8.68899410000000, 4.0e-07,dk14   ,           ,       ,       ,       ,        ,      , 3.60,     ,    ,      69100.0, 1.2e+32
J0147+5922  ,stwd85 ,01 47 44.65,+59 22 03.3,      ,      ,       , 0.19632137543003, 1.6e-13,ywml10 ,  40.111000,  3e-03,hlk+04 ,   6.60,  0.5000,lylg95, 1.91, 1.91,tc93,   12100000.0, 1.3e+33
J0151-0635  ,mlt+78 ,01 51 22.70,-06 35 02.8,      ,      ,       , 1.46466454933400, 7.0e-12,hlk+04 ,  25.660000,  3e-02,hlk+04 ,  38.00, 15.0000,lylg95, 1.93, 1.93,tc93,   52400000.0, 5.6e+30
J0152+0948  ,clm+05 ,01 52 23.73,+09 48 10.0,      ,      ,       , 2.74664729014000, 1.0e-10,clm+05 ,  21.870000,  2e-02,clm+05 ,   0.91,  0.0300,clm+05, 2.30, 2.30,tc93,   25600000.0, 3.2e+30
J0152-1637  ,mlt+78 ,01 52 10.85,-16 37 53.0,      ,      ,       , 0.83274161268780, 1.3e-12,hlk+04 ,  11.925770,  4e-05,srb+15 ,  20.00,  4.0000,lylg95, 0.69, 0.69,tc93,   10200000.0, 8.9e+31
J0156+3949  ,dtws85 ,01 56 55.20,+39 49 29.0,      ,      ,       , 1.81156061131000, 1.0e-10,hlk+04 ,  60.000000,  6e-01,hlk+04 ,   4.00,  1.0000,lylg95, 4.85, 4.85,tc93,  189000000.0, 1.0e+30
J0157+6212  ,dls72  ,01 57 49.93,+62 12 25.9,      ,      ,       , 2.35174493646000, 7.0e-11,hlk+04 ,  30.210000,  3e-02,hlk+04 ,   7.30,        ,slr+14, 1.61, 1.61,tc93,     197000.0, 5.7e+32
J0158+21    ,dsm+13 ,01 58 29.00,+21 08 00.0,      ,      ,       , 0.50530000000000,        ,dsm+13 ,  20.000000,       ,dsm+13 ,       ,        ,      , 1.45, 1.45,tc93,             ,
J0201+7005  ,kkl+15 ,02 01 41.34,+70 05 18.1,      ,      ,       , 1.34918447184600, 1.0e-11,kkl+15 ,  21.029000,  2e-03,kkl+15 ,       ,        ,      , 1.15, 1.15,tc93,    3880000.0, 8.9e+31
J0205+6449  ,mss+02 ,02 05 37.92,+64 49 41.3,      ,      ,       , 0.06571592849324, 9.0e-14,lrc+09 , 140.700000,  3e-01,csl+02 ,       ,        ,      , 3.20, 7.53,tc93,       5370.0, 2.7e+37
J0206-4028  ,mlt+78 ,02 06 01.27,-40 28 04.3,      ,      ,       , 0.63055014084700, 6.0e-12,smd93  ,  12.900000,  1e+00,nmc81  ,  11.00,        ,tml93 , 0.88, 0.88,tc93,    8330000.0, 1.9e+32
J0211-8159  ,lml+98 ,02 11 59.00,-81 59 36.2,      ,      ,       , 1.07733270130000, 8.0e-10,dsb+98 ,  24.360000,  3e-02,dsb+98 ,   6.00,        ,lml+98, 1.83, 1.83,tc93,   58900000.0, 9.2e+30
J0212+5222  ,bck+13 ,02 12 52.20,+52 22 45.0,      ,      ,       , 0.37638629200000, 1.0e-09,bck+13 ,  38.000000,       ,bck+13 ,   4.10,        ,slr+14, 1.91, 1.91,tc93,     904000.0, 4.9e+33
J0214+5222  ,slr+14 ,02 14 55.27,+52 22 40.9,      ,      ,       , 0.02457529479071, 2.2e-13,slr+14 ,  22.035400,  3e-03,slr+14 ,   0.90,        ,slr+14, 1.21, 1.21,tc93, 1300000000.0, 8.0e+32
J0215+6218  ,llc98  ,02 15 56.63,+62 18 33.4,      ,      ,       , 0.54887981915500, 3.0e-12,hlk+04 ,  84.000000,  5e-02,hlk+04 ,  14.50,        ,slr+14, 3.19, 3.19,tc93,   13100000.0, 1.6e+32
J0218+4232  ,nbf+95 ,02 18 06.36,+42 32 17.4, 0.160, 0.090,dyc+14 , 0.00232309046783, 1.7e-15,hlk+04 ,  61.252000,  5e-03,hlk+04 ,  57.70,        ,slr+14, 3.15, 5.85,tc93,  476000000.0, 2.4e+35
J0229+20    ,dsm+13 ,02 29 03.00,+20 58 00.0,      ,      ,       , 0.80690000000000,        ,dsm+13 ,  27.000000,       ,dsm+13 ,       ,        ,      , 2.97, 2.97,tc93,             ,
J0231+7026  ,dtws85 ,02 31 13.99,+70 26 33.9,      ,      ,       , 1.46682030615200, 7.0e-12,hlk+04 ,  46.640000,  3e-02,hlk+04 ,  40.00,        ,slr+14, 2.25, 2.25,tc93,    7470000.0, 3.9e+31
J0241+16    ,dsm+13 ,02 41 46.00,+16 04 00.0,      ,      ,       , 1.54540000000000,        ,dsm+13 ,  16.000000,       ,dsm+13 ,       ,        ,      , 1.01, 1.01,tc93,             ,
J0242+62    ,hrk+08 ,02 42 35.00,+62 56 50.0,      ,      ,       , 0.59200000000000,        ,hrk+08 ,   4.000000,       ,hrk+08 ,       ,        ,      , 0.21, 0.21,tc93,             ,
J0243+6027  ,hrk+08 ,02 43 00.00,+60 27 00.0,      ,      ,       , 1.47300000000000,        ,hrk+08 , 141.000000,       ,hrk+08 ,       ,        ,      , 6.99, 6.99,tc93,             ,
J0244+14    ,dsm+13 ,02 44 51.00,+14 27 00.0,      ,      ,       , 2.12810000000000,        ,dsm+13 ,  31.000000,       ,dsm+13 ,       ,        ,      , 2.73, 2.73,tc93,             ,
J0248+6021  ,rcl+99 ,02 48 18.62,+60 21 34.7,      ,      ,       , 0.21709400000000, 5.0e-06,tpc+11 , 370.000000,  1e+00,tpc+11 ,       ,        ,      , 2.00,23.23,tc93,      62400.0, 2.1e+35
J0255-5304  ,lvw69b ,02 55 56.22,-53 04 21.4,      ,      ,       , 0.44770844405800, 3.0e-12,smd93  ,  15.900000,  5e-01,mlt+78 ,  17.00,        ,tml93 , 1.15, 1.15,tc93,  232000000.0, 1.3e+31
J0304+1932  ,fss73  ,03 04 33.11,+19 32 51.4,      ,      ,       , 1.38758444626200, 3.0e-12,hlk+04 ,  15.737000,  9e-03,hlk+04 ,  27.00,  3.0000,lylg95, 0.95, 0.95,tc93,   17000000.0, 1.9e+31
J0308+74    ,hrm+11 ,03 08 00.00,+74 00 00.0,      ,      ,       , 0.00316000000000,        ,hrm+11 ,   6.350000,       ,hrm+11 ,   0.30,        ,hrm+11, 0.34, 0.34,tc93,             ,
J0323+3944  ,dth78  ,03 23 26.62,+39 44 52.9,      ,      ,       , 3.03207195638500, 1.0e-11,hlk+04 ,  26.173000,  2e-03,srb+15 ,  10.80,        ,slr+14, 2.61, 2.61,tc93,   75600000.0, 9.0e+29
J0324+5239  ,bck+13 ,03 24 55.46,+52 39 31.3,      ,      ,       , 0.33662023029100, 3.0e-12,bck+13 , 119.000000,       ,bck+13 ,       ,        ,      , 6.28, 6.28,tc93,   14000000.0, 3.9e+32
J0325+67    ,slr+14 ,03 26 00.00,+67 49 00.0,      ,      ,       , 1.36474100000000, 6.2e-05,slr+14 ,  65.000000,  2e+00,slr+14 ,  26.30,        ,slr+14, 3.49, 3.49,tc93,             ,
J0329+1654  ,lxf+05 ,03 29 08.55,+16 54 02.0,      ,      ,       , 0.89331966064900, 1.0e-12,lxf+05 ,  42.100000,  2e-01,lxf+05 ,   0.60,        ,lxf+05, 3.35, 3.35,tc93,   65800000.0, 1.2e+31
J0332+5434  ,cp68   ,03 32 59.37,+54 34 43.6, 0.940, 0.110,bbgt02 , 0.71451969972600, 4.0e-12,hlk+04 ,  26.764100,  1e-04,hsh+12 ,1500.00,200.0000,lylg95, 1.00, 1.44,tc93,    5530000.0, 2.2e+32
J0332+79    ,kkl+15 ,03 32 45.00,+79 10 00.0,      ,      ,       , 2.05621000000000, 6.0e-05,kkl+15 ,  16.670000,  2e-02,kkl+15 ,       ,        ,      , 0.93, 0.93,tc93,             ,
J0335+4555  ,dtws85 ,03 35 16.65,+45 55 53.5,      ,      ,       , 0.26920054092953, 1.3e-13,hlk+04 ,  47.153000,  3e-03,hlk+04 ,   6.00,  2.0000,lylg95, 2.08, 2.08,tc93,  580000000.0, 1.5e+31
J0337+1715  ,rsa+14 ,03 37 43.83,+17 15 14.8,      ,      ,       , 0.00273258863244, 9.0e-14,rsa+14 ,  21.316200,  3e-04,rsa+14 ,       ,        ,      , 1.30, 1.40,tc93, 2450000000.0, 3.4e+34
J0338+66    ,slr+14 ,03 39 00.00,+66 44 00.0,      ,      ,       , 1.76200000000000, 1.5e-04,slr+14 ,  67.000000,  2e+00,slr+14 ,  10.50,        ,slr+14, 3.63, 3.63,tc93,             ,
J0340+4130  ,hrm+11 ,03 40 23.29,+41 30 45.3, 0.700, 0.700,mnf+15 , 0.00329000000000,        ,hrm+11 ,  49.600000,       ,hrm+11 ,   2.00,        ,hrm+11, 2.67, 2.67,tc93,             ,
J0341+5711  ,hrk+08 ,03 41 00.00,+57 11 00.0,      ,      ,       , 1.88800000000000,        ,hrk+08 , 100.000000,       ,hrk+08 , 364.70,        ,slr+14, 4.47, 4.47,tc93,             ,
J0343-3000  ,bjd+06 ,03 43 27.94,-30 00 27.5,      ,      ,       , 2.59702715738000, 9.0e-11,bjd+06 ,  20.200000,  3e-01,bjd+06 ,       ,        ,      , 2.22, 2.22,tc93,  722000000.0, 1.3e+29
J0343+5312  ,dth78  ,03 43 12.90,+53 12 53.4,      ,      ,       , 1.93447806729400, 1.5e-11,hlk+04 ,  67.300000,  6e-02,hlk+04 ,   3.70,  0.6000,lylg95, 2.48, 2.48,tc93,    2280000.0, 7.3e+31
J0348+0432  ,lbr+13 ,03 48 43.64,+04 32 11.5,      ,      ,       , 0.03912265690178, 7.0e-16,afw+13 ,  40.463130,  1e-04,afw+13 ,       ,        ,      , 2.10, 2.94,tc93, 2570000000.0, 1.6e+32
J0357+3205  ,aaa+09c,03 57 52.50,+32 05 25.0,      ,      ,       , 0.44410449880000, 6.0e-10,rkp+11 ,           ,       ,       ,       ,        ,      ,     ,     ,    ,     540000.0, 5.9e+33
J0357+5236  ,dtws85 ,03 57 44.82,+52 36 57.7,      ,      ,       , 0.19703009803140, 3.0e-13,hlk+04 , 103.706000,  4e-03,hlk+04 ,  21.60,        ,slr+14, 4.73, 4.73,tc93,    6550000.0, 2.5e+33
J0358+42    ,slr+14 ,03 58 00.00,+42 06 00.0,      ,      ,       , 0.22647770000000, 5.0e-06,slr+14 ,  46.000000,  1e+00,slr+14 ,   5.50,        ,slr+14, 2.07, 2.07,tc93,             ,
J0358+5413  ,mth72  ,03 58 53.72,+54 13 13.7, 0.910, 0.160,ccv+04 , 0.15638241777740, 1.5e-12,hlk+04 ,  57.142000,  3e-04,js06   ,  46.80,        ,slr+14, 1.00, 2.07,tc93,     564000.0, 4.5e+34
